Query_ID,Method,Neighbor_ID,Rank,In_BLAST_Hits,Neighbor_Name,Organism,Function,EC_Number,Domains,GO_Terms
A0A009I3Y5,ivfpq,A9KYL6,3,No,Probable protein kinase UbiB,Shewanella baltica (strain OS1,Is probably a protein kinase regulator of UbiI act,,Protein kinase,
A0A009I3Y5,ivfpq,A1SW96,4,No,tRNA 5-methylaminomethyl-2-thiouridine biosynthesi,Psychromonas ingrahamii (strai,Catalyzes the last two steps in the biosynthesis o,,,
A0A009I3Y5,ivfpq,P45544,5,No,Probable fructoselysine utilization operon transcr,Escherichia coli (strain K12),May regulate the transcription of the frlABCDR ope,,HTH gntR-type,
A0A009I3Y5,nlsh,B0BBT2,1,No,Serine/threonine-protein kinase PknD,Chlamydia trachomatis serovar ,"Together with the serine/threonine kinase Pkn1, ma",,Protein kinase,
A0A009I3Y5,nlsh,A1AGU2,2,No,HTH-type transcriptional regulator MalT,Escherichia coli O1:K1 / APEC,Positively regulates the transcription of the malt,,HTH luxR-type,
A0A009I3Y5,nlsh,A6QEA9,3,No,Probable inorganic carbon transporter subunit DabA,Staphylococcus aureus (strain ,Part of an energy-coupled inorganic carbon pump,,,
A0A009I3Y5,nlsh,B7M1A6,4,No,Bifunctional uridylyltransferase/uridylyl-removing,Escherichia coli O8 (strain IA,"Modifies, by uridylylation and deuridylylation, th",,HD; ACT 1; ACT 2,
A0A009I3Y5,nlsh,A9MPJ5,5,No,Bifunctional uridylyltransferase/uridylyl-removing,Salmonella arizonae (strain AT,"Modifies, by uridylylation and deuridylylation, th",,HD; ACT 1; ACT 2,
A0A009PCK4,lsh,A5UG81,1,No,3-deoxy-D-manno-octulosonic acid kinase,Haemophilus influenzae (strain,Catalyzes the ATP-dependent phosphorylation of the,,,
A0A009PCK4,lsh,P44033,2,No,Putative kinase HI_0665,Haemophilus influenzae (strain,,,,
A0A009PCK4,lsh,P14181,3,No,Protein LicA,Haemophilus influenzae,Mediates phase variation of the LOS 6A2 and 12D9 e,,,
A0A009PCK4,lsh,Q8EKA0,4,No,tRNA 2-selenouridine synthase,Shewanella oneidensis (strain ,Involved in the post-transcriptional modification ,,Rhodanese,
A0A009PCK4,lsh,B2K7I7,5,No,Regulatory ATPase RavA,Yersinia pseudotuberculosis se,"Component of the RavA-ViaA chaperone complex, whic",,,
A0A009PCK4,hypercube,B0BBT2,1,No,Serine/threonine-protein kinase PknD,Chlamydia trachomatis serovar ,"Together with the serine/threonine kinase Pkn1, ma",,Protein kinase,
A0A009PCK4,hypercube,P0C993,2,No,mRNA-capping enzyme,African swine fever virus (iso,Probably catalyzes the second reaction in the mRNA,,mRNA cap 0 methyltransferase,
A0A009PCK4,hypercube,C0MEP5,3,No,Xaa-Pro dipeptidyl-peptidase,Streptococcus equi subsp. zooe,Removes N-terminal dipeptides sequentially from po,,,
A0A009PCK4,hypercube,P0DD36,4,No,Xaa-Pro dipeptidyl-peptidase,Streptococcus pyogenes serotyp,Removes N-terminal dipeptides sequentially from po,,,
A0A009PCK4,hypercube,Q48RI5,5,No,Xaa-Pro dipeptidyl-peptidase,Streptococcus pyogenes serotyp,Removes N-terminal dipeptides sequentially from po,,,
A0A009PCK4,ivfflat,A5UG81,1,No,3-deoxy-D-manno-octulosonic acid kinase,Haemophilus influenzae (strain,Catalyzes the ATP-dependent phosphorylation of the,,,
A0A009PCK4,ivfflat,P44033,2,No,Putative kinase HI_0665,Haemophilus influenzae (strain,,,,
A0A009PCK4,ivfflat,P14181,3,No,Protein LicA,Haemophilus influenzae,Mediates phase variation of the LOS 6A2 and 12D9 e,,,
A0A009PCK4,ivfflat,Q8EKA0,4,No,tRNA 2-selenouridine synthase,Shewanella oneidensis (strain ,Involved in the post-transcriptional modification ,,Rhodanese,
A0A009PCK4,ivfflat,B2K7I7,5,No,Regulatory ATPase RavA,Yersinia pseudotuberculosis se,"Component of the RavA-ViaA chaperone complex, whic",,,
A0A009PCK4,ivfpq,A5UG81,1,No,3-deoxy-D-manno-octulosonic acid kinase,Haemophilus influenzae (strain,Catalyzes the ATP-dependent phosphorylation of the,,,
A0A009PCK4,ivfpq,Q4QLU9,2,No,23S rRNA (uracil(747)-C(5))-methyltransferase RlmC,Haemophilus influenzae (strain,Catalyzes the formation of 5-methyl-uridine at pos,,,
A0A009PCK4,ivfpq,A9KYL6,3,No,Probable protein kinase UbiB,Shewanella baltica (strain OS1,Is probably a protein kinase regulator of UbiI act,,Protein kinase,
A0A009PCK4,ivfpq,A1SW96,4,No,tRNA 5-methylaminomethyl-2-thiouridine biosynthesi,Psychromonas ingrahamii (strai,Catalyzes the last two steps in the biosynthesis o,,,
A0A009PCK4,ivfpq,P45544,5,No,Probable fructoselysine utilization operon transcr,Escherichia coli (strain K12),May regulate the transcription of the frlABCDR ope,,HTH gntR-type,
A0A009PCK4,nlsh,B0BBT2,1,No,Serine/threonine-protein kinase PknD,Chlamydia trachomatis serovar ,"Together with the serine/threonine kinase Pkn1, ma",,Protein kinase,
A0A009PCK4,nlsh,A1AGU2,2,No,HTH-type transcriptional regulator MalT,Escherichia coli O1:K1 / APEC,Positively regulates the transcription of the malt,,HTH luxR-type,
A0A009PCK4,nlsh,A6QEA9,3,No,Probable inorganic carbon transporter subunit DabA,Staphylococcus aureus (strain ,Part of an energy-coupled inorganic carbon pump,,,
A0A009PCK4,nlsh,B7M1A6,4,No,Bifunctional uridylyltransferase/uridylyl-removing,Escherichia coli O8 (strain IA,"Modifies, by uridylylation and deuridylylation, th",,HD; ACT 1; ACT 2,
A0A009PCK4,nlsh,A9MPJ5,5,No,Bifunctional uridylyltransferase/uridylyl-removing,Salmonella arizonae (strain AT,"Modifies, by uridylylation and deuridylylation, th",,HD; ACT 1; ACT 2,
A0A001,lsh,P9WQJ3,1,No,Fatty acid ABC transporter ATP-binding/permease pr,Mycobacterium tuberculosis (st,ABC transporter involved in fatty acid import (Pub,,ABC transmembrane type-1; ABC transporter,
A0A001,lsh,Q13BH6,2,No,Beta-(1-->2)glucan export ATP-binding/permease pro,Rhodopseudomonas palustris (st,Involved in beta-(1-->2)glucan export. Transmembra,,ABC transmembrane type-1; ABC transporter,
A0A001,lsh,Q03024,3,No,Alkaline protease secretion ATP-binding protein Ap,Pseudomonas aeruginosa (strain,Involved in the secretion of alkaline protease,,ABC transmembrane type-1; ABC transporter,
A0A001,lsh,Q20Z38,4,No,Beta-(1-->2)glucan export ATP-binding/permease pro,Rhodopseudomonas palustris (st,Involved in beta-(1-->2)glucan export. Transmembra,,ABC transmembrane type-1; ABC transporter,
A0A001,lsh,Q9ZEP3,5,No,Sensor protein CseC,Streptomyces coelicolor (strai,Member of the two-component regulatory system CseB,,HAMP; Histidine kinase,
A0A001,hypercube,O70595,1,No,ATP-binding cassette sub-family B member 6,Rattus norvegicus,ATP-dependent transporter that catalyzes the trans,,ABC transmembrane type-1; ABC transporter,
A0A001,hypercube,Q9NP58,2,No,ATP-binding cassette sub-family B member 6,Homo sapiens,ATP-dependent transporter that catalyzes the trans,,ABC transmembrane type-1; ABC transporter,
A0A001,hypercube,C1A4A9,3,No,Endonuclease MutS2,Gemmatimonas aurantiaca (strai,"Acts as a ribosome collision sensor, splitting the",,Smr,
A0A001,hypercube,B8JA66,4,No,DNA mismatch repair protein MutS,Anaeromyxobacter dehalogenans ,This protein is involved in the repair of mismatch,,,
A0A001,hypercube,Q9RQQ9,5,No,Sensor protein DivL,Caulobacter vibrioides (strain,Required for cell division and growth. It catalyze,,Histidine kinase,
A0A001,ivfflat,P9WQJ3,1,No,Fatty acid ABC transporter ATP-binding/permease pr,Mycobacterium tuberculosis (st,ABC transporter involved in fatty acid import (Pub,,ABC transmembrane type-1; ABC transporter,
A0A001,ivfflat,Q13BH6,2,No,Beta-(1-->2)glucan export ATP-binding/permease pro,Rhodopseudomonas palustris (st,Involved in beta-(1-->2)glucan export. Transmembra,,ABC transmembrane type-1; ABC transporter,
A0A001,ivfflat,Q03024,3,No,Alkaline protease secretion ATP-binding protein Ap,Pseudomonas aeruginosa (strain,Involved in the secretion of alkaline protease,,ABC transmembrane type-1; ABC transporter,
A0A001,ivfflat,Q20Z38,4,No,Beta-(1-->2)glucan export ATP-binding/permease pro,Rhodopseudomonas palustris (st,Involved in beta-(1-->2)glucan export. Transmembra,,ABC transmembrane type-1; ABC transporter,
A0A001,ivfflat,Q9ZEP3,5,No,Sensor protein CseC,Streptomyces coelicolor (strai,Member of the two-component regulatory system CseB,,HAMP; Histidine kinase,
A0A001,ivfpq,Q03024,1,No,Alkaline protease secretion ATP-binding protein Ap,Pseudomonas aeruginosa (strain,Involved in the secretion of alkaline protease,,ABC transmembrane type-1; ABC transporter,
A0A001,ivfpq,Q9ZEP3,2,No,Sensor protein CseC,Streptomyces coelicolor (strai,Member of the two-component regulatory system CseB,,HAMP; Histidine kinase,
A0A001,ivfpq,Q8P8W4,3,Yes,ATP-dependent lipid A-core flippase,Xanthomonas campestris pv. cam,Involved in lipopolysaccharide (LPS) biosynthesis.,,ABC transmembrane type-1; ABC transporter,
A0A001,ivfpq,D3KU66,4,No,Acetylserotonin O-methyltransferase,Mus musculus,Catalyzes the transfer of a methyl group onto N-ac,,,
A0A001,ivfpq,A1UKA3,5,No,Putative O-methyltransferase Mkms_4069,Mycobacterium sp. (strain KMS),,,,
A0A001,nlsh,B8JA66,1,No,DNA mismatch repair protein MutS,Anaeromyxobacter dehalogenans ,This protein is involved in the repair of mismatch,,,
A0A001,nlsh,Q3IYI5,2,No,[Errno 32] Broken pipe
A0A001,nlsh,P9WM40,3,No,Uncharacterized protein MT1315,Mycobacterium tuberculosis (st,,,,
A0A001,nlsh,Q7VY01,4,No,DNA mismatch repair protein MutS,Bordetella pertussis (strain T,This protein is involved in the repair of mismatch,,,
A0A001,nlsh,Q7WLT5,5,No,DNA mismatch repair protein MutS,Bordetella bronchiseptica (str,This protein is involved in the repair of mismatch,,,
A0A002,lsh,P9WQJ3,1,Yes,Fatty acid ABC transporter ATP-binding/permease pr,Mycobacterium tuberculosis (st,ABC transporter involved in fatty acid import (Pub,,ABC transmembrane type-1; ABC transporter,
A0A002,lsh,Q13BH6,2,No,Beta-(1-->2)glucan export ATP-binding/permease pro,Rhodopseudomonas palustris (st,Involved in beta-(1-->2)glucan export. Transmembra,,ABC transmembrane type-1; ABC transporter,
A0A002,lsh,Q03024,3,No,Alkaline protease secretion ATP-binding protein Ap,Pseudomonas aeruginosa (strain,Involved in the secretion of alkaline protease,,ABC transmembrane type-1; ABC transporter,
A0A002,lsh,Q20Z38,4,No,Beta-(1-->2)glucan export ATP-binding/permease pro,Rhodopseudomonas palustris (st,Involved in beta-(1-->2)glucan export. Transmembra,,ABC transmembrane type-1; ABC transporter,
A0A002,lsh,P23886,5,No,Glutathione/L-cysteine transport system ATP-bindin,Escherichia coli (strain K12),"Conversely, a more recent study suggests an altern",,ABC transmembrane type-1; ABC transporter,
A0A002,hypercube,O70595,1,No,ATP-binding cassette sub-family B member 6,Rattus norvegicus,ATP-dependent transporter that catalyzes the trans,,ABC transmembrane type-1; ABC transporter,
A0A002,hypercube,Q9NP58,2,No,ATP-binding cassette sub-family B member 6,Homo sapiens,ATP-dependent transporter that catalyzes the trans,,ABC transmembrane type-1; ABC transporter,
A0A002,hypercube,C1A4A9,3,No,Endonuclease MutS2,Gemmatimonas aurantiaca (strai,"Acts as a ribosome collision sensor, splitting the",,Smr,
A0A002,hypercube,B8JA66,4,No,DNA mismatch repair protein MutS,Anaeromyxobacter dehalogenans ,This protein is involved in the repair of mismatch,,,
A0A002,hypercube,Q9RQQ9,5,No,Sensor protein DivL,Caulobacter vibrioides (strain,Required for cell division and growth. It catalyze,,Histidine kinase,
A0A002,ivfflat,P9WQJ3,1,Yes,Fatty acid ABC transporter ATP-binding/permease pr,Mycobacterium tuberculosis (st,ABC transporter involved in fatty acid import (Pub,,ABC transmembrane type-1; ABC transporter,
A0A002,ivfflat,Q13BH6,2,No,Beta-(1-->2)glucan export ATP-binding/permease pro,Rhodopseudomonas palustris (st,Involved in beta-(1-->2)glucan export. Transmembra,,ABC transmembrane type-1; ABC transporter,
A0A002,ivfflat,Q03024,3,No,Alkaline protease secretion ATP-binding protein Ap,Pseudomonas aeruginosa (strain,Involved in the secretion of alkaline protease,,ABC transmembrane type-1; ABC transporter,
A0A002,ivfflat,Q20Z38,4,No,Beta-(1-->2)glucan export ATP-binding/permease pro,Rhodopseudomonas palustris (st,Involved in beta-(1-->2)glucan export. Transmembra,,ABC transmembrane type-1; ABC transporter,
A0A002,ivfflat,P23886,5,No,Glutathione/L-cysteine transport system ATP-bindin,Escherichia coli (strain K12),"Conversely, a more recent study suggests an altern",,ABC transmembrane type-1; ABC transporter,
A0A002,ivfpq,P9WQJ3,1,Yes,Fatty acid ABC transporter ATP-binding/permease pr,Mycobacterium tuberculosis (st,ABC transporter involved in fatty acid import (Pub,,ABC transmembrane type-1; ABC transporter,
A0A002,ivfpq,Q03024,2,No,Alkaline protease secretion ATP-binding protein Ap,Pseudomonas aeruginosa (strain,Involved in the secretion of alkaline protease,,ABC transmembrane type-1; ABC transporter,
A0A002,ivfpq,Q20Z38,3,No,Beta-(1-->2)glucan export ATP-binding/permease pro,Rhodopseudomonas palustris (st,Involved in beta-(1-->2)glucan export. Transmembra,,ABC transmembrane type-1; ABC transporter,
A0A002,ivfpq,Q8P8W4,4,No,ATP-dependent lipid A-core flippase,Xanthomonas campestris pv. cam,Involved in lipopolysaccharide (LPS) biosynthesis.,,ABC transmembrane type-1; ABC transporter,
A0A002,ivfpq,Q51719,5,No,Putative ABC transporter ATP-binding protein in co,Propionibacterium freudenreich,Probably part of an ABC transporter complex. Respo,,ABC transporter,
A0A002,nlsh,B8JA66,1,No,DNA mismatch repair protein MutS,Anaeromyxobacter dehalogenans ,This protein is involved in the repair of mismatch,,,
A0A002,nlsh,Q3IYI5,2,No,DNA mismatch repair protein MutS,Cereibacter sphaeroides (strai,This protein is involved in the repair of mismatch,,,
A0A002,nlsh,P9WM40,3,No,Uncharacterized protein MT1315,Mycobacterium tuberculosis (st,,,,
A0A002,nlsh,Q7WLT5,4,No,DNA mismatch repair protein MutS,Bordetella bronchiseptica (str,This protein is involved in the repair of mismatch,,,
A0A002,nlsh,Q7VY01,5,No,DNA mismatch repair protein MutS,Bordetella pertussis (strain T,This protein is involved in the repair of mismatch,,,
A0A009HL96,lsh,Q5HI09,1,No,Response regulator protein GraR,Staphylococcus aureus (strain ,Member of the two-component regulatory system GraR,,Response regulatory,
A0A009HL96,lsh,P33112,2,No,Transcriptional regulatory protein SpaR,Bacillus subtilis,Member of the two-component regulatory system SpaK,,Response regulatory,
A0A009HL96,lsh,Q99VW2,3,No,Response regulator protein GraR,Staphylococcus aureus (strain ,Member of the two-component regulatory system GraR,,Response regulatory,
A0A009HL96,lsh,Q8CQ37,4,No,Response regulator protein GraR,Staphylococcus epidermidis (st,Member of the two-component regulatory system GraR,,Response regulatory,
A0A009HL96,lsh,Q99RR6,5,No,Heme response regulator HssR,Staphylococcus aureus (strain ,Member of the two-component regulatory system HssS,,Response regulatory,
A0A009HL96,hypercube,Q8D5Z6,1,No,Autoinducer 2 sensor kinase/phosphatase LuxQ,Vibrio vulnificus (strain CMCP,"At low cell density, in absence of autoinducer has",,Histidine kinase; Response regulatory,
A0A009HL96,hypercube,O34311,2,No,Signaling protein YkoW,Bacillus subtilis (strain 168),Probable signaling protein whose physiological rol,,MHYT; PAS; GGDEF; EAL,
A0A009HL96,hypercube,Q56128,3,No,Sensor histidine kinase RcsC,Salmonella typhi,"Component of the Rcs signaling system, which contr",,PAS; Histidine kinase; ABL; Response regulatory,
A0A009HL96,hypercube,Q13237,4,No,cGMP-dependent protein kinase 2,Homo sapiens,Crucial regulator of intestinal secretion and bone,,Protein kinase; AGC-kinase C-terminal,
A0A009HL96,hypercube,Q9Z701,5,No,Bifunctional enzyme MurC/Ddl,Chlamydia pneumoniae,Cell wall formation,,ATP-grasp,
