IVFPQ

Query: A0A002
Nearest neighbor-1: P9WQJ3, Distance: 1.334
Nearest neighbor-44: B4TGI0, Distance: 2.353
Nearest neighbor-45: A7ZLX1, Distance: 2.377
Nearest neighbor-46: Q1H0W2, Distance: 2.437
Nearest neighbor-47: P0A9U2, Distance: 2.441
Nearest neighbor-48: Q2KAW9, Distance: 2.501
Nearest neighbor-49: B7MAS0, Distance: 2.545
Nearest neighbor-50: Q56953, Distance: 2.619

Query: A0A010Q8R4
Nearest neighbor-1: Q9P4R5, Distance: 1.221
Nearest neighbor-2: Q652L2, Distance: 1.226
Nearest neighbor-3: P0CS56, Distance: 1.244
Nearest neighbor-4: P0CS29, Distance: 1.268
Nearest neighbor-5: Q5NVM2, Distance: 1.330
Nearest neighbor-6: Q2UUT4, Distance: 1.341
Nearest neighbor-7: Q6CXX3, Distance: 1.349
Nearest neighbor-8: A1CBB8, Distance: 1.373
Nearest neighbor-9: Q9P7C0, Distance: 1.379
Nearest neighbor-10: Q24246, Distance: 1.385
Nearest neighbor-11: A2RAG5, Distance: 1.388
Nearest neighbor-12: Q9SU78, Distance: 1.397
Nearest neighbor-13: A1DE24, Distance: 1.432
Nearest neighbor-14: Q9VKK2, Distance: 1.434
Nearest neighbor-15: Q8BX09, Distance: 1.439
Nearest neighbor-16: Q5ZMV9, Distance: 1.462
Nearest neighbor-17: Q20059, Distance: 1.473
Nearest neighbor-18: A1DIN7, Distance: 1.491
Nearest neighbor-19: O35828, Distance: 1.503
Nearest neighbor-20: A3LNM0, Distance: 1.507
Nearest neighbor-21: A2QI22, Distance: 1.511
Nearest neighbor-22: A1CXL0, Distance: 1.532
Nearest neighbor-23: Q96U88, Distance: 1.533
Nearest neighbor-24: P0CP70, Distance: 1.533
Nearest neighbor-25: Q8CFJ9, Distance: 1.542
Nearest neighbor-26: Q8W4D0, Distance: 1.551
Nearest neighbor-27: Q9VCE9, Distance: 1.566
Nearest neighbor-28: Q8TEB1, Distance: 1.576
Nearest neighbor-29: Q05B30, Distance: 1.587
Nearest neighbor-30: A2QGF0, Distance: 1.594
Nearest neighbor-31: Q4R4I8, Distance: 1.613
Nearest neighbor-32: B0R0D7, Distance: 1.634
Nearest neighbor-33: B4GMG4, Distance: 1.636
Nearest neighbor-34: P0DL28, Distance: 1.636
Nearest neighbor-35: A8NZM5, Distance: 1.646
Nearest neighbor-36: A5DSU5, Distance: 1.647
Nearest neighbor-37: Q5KBP2, Distance: 1.649
Nearest neighbor-38: Q8C6G8, Distance: 1.663
Nearest neighbor-39: Q9FMU5, Distance: 1.667
Nearest neighbor-40: B3H5K9, Distance: 1.675
Nearest neighbor-41: D8Q8R5, Distance: 1.692
Nearest neighbor-42: B3P4F8, Distance: 1.750
Nearest neighbor-43: O42478, Distance: 1.757
Nearest neighbor-44: P0CR59, Distance: 1.778
Nearest neighbor-45: Q64321, Distance: 1.825
Nearest neighbor-46: Q9W2S3, Distance: 1.844
Nearest neighbor-47: Q6FU05, Distance: 1.851
Nearest neighbor-48: Q9BUR4, Distance: 1.852
Nearest neighbor-49: Q3SWZ7, Distance: 1.885
Nearest neighbor-50: A0A455R614, Distance: 1.915

Query: A0A009HLV9
Nearest neighbor-1: P28787, Distance: 0.570
Nearest neighbor-2: Q06065, Distance: 0.887
Nearest neighbor-3: Q5E3W8, Distance: 0.915
Nearest neighbor-4: P23747, Distance: 0.951
Nearest neighbor-5: O87455, Distance: 0.955
Nearest neighbor-6: P59402, Distance: 0.987
Nearest neighbor-7: A8A3I6, Distance: 0.999
Nearest neighbor-8: B6I695, Distance: 1.009
Nearest neighbor-9: A1KU52, Distance: 1.011
Nearest neighbor-10: B7N6T9, Distance: 1.013
Nearest neighbor-11: Q0TEH1, Distance: 1.015
Nearest neighbor-12: P36219, Distance: 1.027
Nearest neighbor-13: B4T3B0, Distance: 1.029
Nearest neighbor-14: B4TT16, Distance: 1.039
Nearest neighbor-15: Q8EEF3, Distance: 1.051
Nearest neighbor-16: P37931, Distance: 1.066
Nearest neighbor-17: B5F3J7, Distance: 1.088
Nearest neighbor-18: P66756, Distance: 1.088
Nearest neighbor-19: P0A812, Distance: 1.095
Nearest neighbor-20: Q15RN6, Distance: 1.100
Nearest neighbor-21: B7NBL1, Distance: 1.103
Nearest neighbor-22: Q03R36, Distance: 1.103
Nearest neighbor-23: Q03YJ6, Distance: 1.105
Nearest neighbor-24: A5FRK7, Distance: 1.124
Nearest neighbor-25: Q220I3, Distance: 1.135
Nearest neighbor-26: P37930, Distance: 1.142
Nearest neighbor-27: B0JY77, Distance: 1.142
Nearest neighbor-28: P71229, Distance: 1.153
Nearest neighbor-29: A1U1B9, Distance: 1.176
Nearest neighbor-30: A4STH5, Distance: 1.188
Nearest neighbor-31: Q5H2A4, Distance: 1.188
Nearest neighbor-32: Q3BQF5, Distance: 1.191
Nearest neighbor-33: Q7WGB3, Distance: 1.214
Nearest neighbor-34: P0DF50, Distance: 1.220
Nearest neighbor-35: Q88V03, Distance: 1.229
Nearest neighbor-36: Q9KDI8, Distance: 1.240
Nearest neighbor-37: P61529, Distance: 1.248
Nearest neighbor-38: Q503W7, Distance: 1.254
Nearest neighbor-39: Q92BI2, Distance: 1.263
Nearest neighbor-40: Q4FTT9, Distance: 1.315
Nearest neighbor-41: O94449, Distance: 1.336
Nearest neighbor-42: P75242, Distance: 1.344
Nearest neighbor-43: P78578, Distance: 1.383
Nearest neighbor-44: Q05B83, Distance: 1.416
Nearest neighbor-45: A2SQT3, Distance: 1.423
Nearest neighbor-46: B9KKV4, Distance: 1.474
Nearest neighbor-47: Q2RHT7, Distance: 1.495
Nearest neighbor-48: Q8SQI9, Distance: 1.523
Nearest neighbor-49: Q9V287, Distance: 1.623
Nearest neighbor-50: P62193, Distance: 1.657

Query: A0A009I3Y5
Nearest neighbor-1: A5UG81, Distance: 1.750
Nearest neighbor-2: P44033, Distance: 1.860
Nearest neighbor-3: Q4QLU9, Distance: 1.906
Nearest neighbor-4: A9KYL6, Distance: 1.985
Nearest neighbor-5: Q7MHY6, Distance: 2.003
Nearest neighbor-6: B2J946, Distance: 2.008
Nearest neighbor-7: Q8E9R5, Distance: 2.014
Nearest neighbor-8: A1SW96, Distance: 2.021
Nearest neighbor-9: P33800, Distance: 2.027
Nearest neighbor-10: Q8EIL1, Distance: 2.030
Nearest neighbor-11: Q7MAX6, Distance: 2.032
Nearest neighbor-12: Q7VP87, Distance: 2.039
Nearest neighbor-13: Q87PM1, Distance: 2.044
Nearest neighbor-14: A3D8E4, Distance: 2.056
Nearest neighbor-15: P75612, Distance: 2.058
Nearest neighbor-16: B0VRJ4, Distance: 2.063
Nearest neighbor-17: B6EL06, Distance: 2.084
Nearest neighbor-18: B4F0D4, Distance: 2.099
Nearest neighbor-19: B8ECC0, Distance: 2.103
Nearest neighbor-20: A9L3X6, Distance: 2.111
Nearest neighbor-21: A6VLF9, Distance: 2.114
Nearest neighbor-22: E1WH94, Distance: 2.116
Nearest neighbor-23: Q9CPH1, Distance: 2.116
Nearest neighbor-24: Q6G4C4, Distance: 2.116
Nearest neighbor-25: A1RP91, Distance: 2.138
Nearest neighbor-26: B4ET17, Distance: 2.150
Nearest neighbor-27: B0V7R3, Distance: 2.152
Nearest neighbor-28: Q3IHQ6, Distance: 2.156
Nearest neighbor-29: B7UKC3, Distance: 2.162
Nearest neighbor-30: A1AGU2, Distance: 2.164
Nearest neighbor-31: Q1R5L6, Distance: 2.164
Nearest neighbor-32: C5BC48, Distance: 2.183
Nearest neighbor-33: B7MJ93, Distance: 2.193
Nearest neighbor-34: B2TWG0, Distance: 2.197
Nearest neighbor-35: A7ZZ64, Distance: 2.197
Nearest neighbor-36: Q12SP8, Distance: 2.200
Nearest neighbor-37: B0UWL8, Distance: 2.206
Nearest neighbor-38: B7MTN6, Distance: 2.214
Nearest neighbor-39: B1LNS5, Distance: 2.218
Nearest neighbor-40: A8GL74, Distance: 2.241
Nearest neighbor-41: Q5PK68, Distance: 2.249
Nearest neighbor-42: B5BJN9, Distance: 2.249
Nearest neighbor-43: Q9KRA6, Distance: 2.269
Nearest neighbor-44: Q9KD20, Distance: 2.274
Nearest neighbor-45: Q1CGA8, Distance: 2.319
Nearest neighbor-46: Q6D3S2, Distance: 2.351
Nearest neighbor-47: Q2NQZ6, Distance: 2.397
Nearest neighbor-48: B1JQP6, Distance: 2.424
Nearest neighbor-49: C3K2F6, Distance: 2.483
Nearest neighbor-50: Q9RHS9, Distance: 2.486

Query: A0A009PCK4
Nearest neighbor-1: P14181, Distance: 1.671
Nearest neighbor-2: A5UG81, Distance: 1.720
Nearest neighbor-3: P44033, Distance: 1.840
Nearest neighbor-4: Q4QLU9, Distance: 1.912
Nearest neighbor-5: A9KYL6, Distance: 1.983
Nearest neighbor-6: Q7MHY6, Distance: 2.008
Nearest neighbor-7: Q8E9R5, Distance: 2.009
Nearest neighbor-8: A1SW96, Distance: 2.015
Nearest neighbor-9: P33800, Distance: 2.017
Nearest neighbor-10: Q7MAX6, Distance: 2.036
Nearest neighbor-11: Q87PM1, Distance: 2.038
Nearest neighbor-12: Q8EIL1, Distance: 2.046
Nearest neighbor-13: Q7VP87, Distance: 2.048
Nearest neighbor-14: P75612, Distance: 2.061
Nearest neighbor-15: A3D8E4, Distance: 2.063
Nearest neighbor-16: B0VRJ4, Distance: 2.069
Nearest neighbor-17: B6EL06, Distance: 2.080
Nearest neighbor-18: Q6G4C4, Distance: 2.088
Nearest neighbor-19: B4F0D4, Distance: 2.096
Nearest neighbor-20: B8ECC0, Distance: 2.097
Nearest neighbor-21: A9L3X6, Distance: 2.104
Nearest neighbor-22: A6VLF9, Distance: 2.119
Nearest neighbor-23: Q9CPH1, Distance: 2.131
Nearest neighbor-24: E1WH94, Distance: 2.133
Nearest neighbor-25: A1RP91, Distance: 2.148
Nearest neighbor-26: Q3IHQ6, Distance: 2.154
Nearest neighbor-27: B0V7R3, Distance: 2.158
Nearest neighbor-28: B4ET17, Distance: 2.158
Nearest neighbor-29: B7UKC3, Distance: 2.165
Nearest neighbor-30: A1AGU2, Distance: 2.168
Nearest neighbor-31: Q1R5L6, Distance: 2.168
Nearest neighbor-32: B7MJ93, Distance: 2.181
Nearest neighbor-33: A7ZZ64, Distance: 2.184
Nearest neighbor-34: C5BC48, Distance: 2.187
Nearest neighbor-35: B2TWG0, Distance: 2.200
Nearest neighbor-36: B7MTN6, Distance: 2.201
Nearest neighbor-37: Q12SP8, Distance: 2.208
Nearest neighbor-38: B0UWL8, Distance: 2.213
Nearest neighbor-39: B1LNS5, Distance: 2.221
Nearest neighbor-40: A8GL74, Distance: 2.241
Nearest neighbor-41: Q5PK68, Distance: 2.251
Nearest neighbor-42: B5BJN9, Distance: 2.251
Nearest neighbor-43: Q9KRA6, Distance: 2.258
Nearest neighbor-44: Q9KD20, Distance: 2.262
Nearest neighbor-45: Q1CGA8, Distance: 2.330
Nearest neighbor-46: Q6D3S2, Distance: 2.360
Nearest neighbor-47: Q2NQZ6, Distance: 2.391
Nearest neighbor-48: B1JQP6, Distance: 2.426
Nearest neighbor-49: C3K2F6, Distance: 2.485
Nearest neighbor-50: Q9RHS9, Distance: 2.489

Query: A0A009HN45
Nearest neighbor-1: A7MSB2, Distance: 0.681
Nearest neighbor-2: Q9ZDW2, Distance: 0.740
Nearest neighbor-3: B0BT63, Distance: 0.760
Nearest neighbor-4: P52126, Distance: 0.792
Nearest neighbor-5: Q0HMR2, Distance: 0.792
Nearest neighbor-6: Q0HR19, Distance: 0.796
Nearest neighbor-7: Q99ZA5, Distance: 0.806
Nearest neighbor-8: Q1JBD1, Distance: 0.807
Nearest neighbor-9: Q5X0E6, Distance: 0.828
Nearest neighbor-10: A1A7A6, Distance: 0.837
Nearest neighbor-11: Q3K063, Distance: 0.840
Nearest neighbor-12: A7ZW09, Distance: 0.845
Nearest neighbor-13: P0C9B2, Distance: 0.846
Nearest neighbor-14: Q03AL7, Distance: 0.856
Nearest neighbor-15: Q9ZKA0, Distance: 0.868
Nearest neighbor-16: Q50939, Distance: 0.869
Nearest neighbor-17: C0MBD7, Distance: 0.877
Nearest neighbor-18: Q5PDF0, Distance: 0.891
Nearest neighbor-19: Q54986, Distance: 0.891
Nearest neighbor-20: A7FKM4, Distance: 0.891
Nearest neighbor-21: Q49VV6, Distance: 0.896
Nearest neighbor-22: B1IC35, Distance: 0.898
Nearest neighbor-23: B5FI41, Distance: 0.898
Nearest neighbor-24: Q71WT9, Distance: 0.922
Nearest neighbor-25: A3CNJ9, Distance: 0.922
Nearest neighbor-26: Q8CWX7, Distance: 0.926
Nearest neighbor-27: Q8F8A9, Distance: 0.930
Nearest neighbor-28: B1L280, Distance: 0.959
Nearest neighbor-29: A9MTI2, Distance: 0.983
Nearest neighbor-30: B5F076, Distance: 0.983
Nearest neighbor-31: C0PWY7, Distance: 0.983
Nearest neighbor-32: Q57RF9, Distance: 0.983
Nearest neighbor-33: A4W8C2, Distance: 0.990
Nearest neighbor-34: Q2WCN1, Distance: 0.994
Nearest neighbor-35: Q47EI2, Distance: 1.001
Nearest neighbor-36: Q6GIN3, Distance: 1.009
Nearest neighbor-37: Q5HHR0, Distance: 1.009
Nearest neighbor-38: Q8NXM0, Distance: 1.015
Nearest neighbor-39: A7ZY35, Distance: 1.016
Nearest neighbor-40: B7NA78, Distance: 1.016
Nearest neighbor-41: A0KGL5, Distance: 1.029
Nearest neighbor-42: A9WT85, Distance: 1.039
Nearest neighbor-43: Q3SIK7, Distance: 1.039
Nearest neighbor-44: Q3Z9B4, Distance: 1.054
Nearest neighbor-45: Q631I6, Distance: 1.085
Nearest neighbor-46: Q48LP5, Distance: 1.109
Nearest neighbor-47: Q65191, Distance: 1.163
Nearest neighbor-48: Q3KGV8, Distance: 1.184
Nearest neighbor-49: Q21489, Distance: 1.214
Nearest neighbor-50: Q9T1Q7, Distance: 1.355

Query: A0A009HPM0
Nearest neighbor-1: Q5I0C3, Distance: 1.289
Nearest neighbor-2: B2TWG0, Distance: 1.437
Nearest neighbor-3: B1LNS5, Distance: 1.449
Nearest neighbor-4: Q88XP4, Distance: 1.452
Nearest neighbor-5: A1RP91, Distance: 1.454
Nearest neighbor-6: Q5PK68, Distance: 1.457
Nearest neighbor-7: B5BJN9, Distance: 1.457
Nearest neighbor-8: Q5E320, Distance: 1.480
Nearest neighbor-9: B0VRJ4, Distance: 1.482
Nearest neighbor-10: Q7MHY6, Distance: 1.486
Nearest neighbor-11: A6VLF9, Distance: 1.487
Nearest neighbor-12: Q7MAX6, Distance: 1.495
Nearest neighbor-13: B0VKL3, Distance: 1.506
Nearest neighbor-14: A8GL74, Distance: 1.512
Nearest neighbor-15: Q12SP8, Distance: 1.523
Nearest neighbor-16: A3D8E4, Distance: 1.525
Nearest neighbor-17: C5BC48, Distance: 1.536
Nearest neighbor-18: B1IRN3, Distance: 1.543
Nearest neighbor-19: B6EL06, Distance: 1.543
Nearest neighbor-20: B4ET17, Distance: 1.559
Nearest neighbor-21: B5BG31, Distance: 1.584
Nearest neighbor-22: A4TQK1, Distance: 1.585
Nearest neighbor-23: Q7VP87, Distance: 1.587
Nearest neighbor-24: Q8EIL1, Distance: 1.593
Nearest neighbor-25: Q0I4C6, Distance: 1.603
Nearest neighbor-26: Q6D3S2, Distance: 1.623
Nearest neighbor-27: Q38YR4, Distance: 1.637
Nearest neighbor-28: Q3MEJ8, Distance: 1.649
Nearest neighbor-29: Q2NQZ6, Distance: 1.651
Nearest neighbor-30: A9MRB9, Distance: 1.653
Nearest neighbor-31: B5F512, Distance: 1.656
Nearest neighbor-32: B0BTC2, Distance: 1.657
Nearest neighbor-33: B2TZQ2, Distance: 1.686
Nearest neighbor-34: Q9RHS9, Distance: 1.690
Nearest neighbor-35: Q1CGA8, Distance: 1.694
Nearest neighbor-36: C3K2F6, Distance: 1.698
Nearest neighbor-37: Q12SQ2, Distance: 1.711
Nearest neighbor-38: P45544, Distance: 1.725
Nearest neighbor-39: Q57R80, Distance: 1.728
Nearest neighbor-40: B0V7R3, Distance: 1.730
Nearest neighbor-41: B1JQP6, Distance: 1.744
Nearest neighbor-42: Q9CPH1, Distance: 1.749
Nearest neighbor-43: Q05938, Distance: 1.781
Nearest neighbor-44: C5BED3, Distance: 1.814
Nearest neighbor-45: Q74SR9, Distance: 1.863
Nearest neighbor-46: B7M8I9, Distance: 1.878
Nearest neighbor-47: Q0T1T1, Distance: 1.878
Nearest neighbor-48: B1XBQ2, Distance: 1.883
Nearest neighbor-49: B2TYI8, Distance: 1.889
Nearest neighbor-50: A9N0W9, Distance: 1.988

Query: A0A009IB02
Nearest neighbor-1: P10802, Distance: 1.189
Nearest neighbor-2: P11961, Distance: 1.983
Nearest neighbor-3: Q9SQI8, Distance: 2.006
Nearest neighbor-4: P49786, Distance: 2.008
Nearest neighbor-5: P22439, Distance: 2.194
Nearest neighbor-6: P43874, Distance: 2.221
Nearest neighbor-7: P29337, Distance: 2.289
Nearest neighbor-8: P02904, Distance: 2.351
Nearest neighbor-9: P0ABE1, Distance: 2.443
Nearest neighbor-10: Q06881, Distance: 2.475
Nearest neighbor-11: B5XWP9, Distance: 2.557
Nearest neighbor-12: Q9Z4H7, Distance: 2.725
Nearest neighbor-13: O06432, Distance: 2.765
Nearest neighbor-14: Q4R4J7, Distance: 2.806
Nearest neighbor-15: Q4IJH1, Distance: 2.822
Nearest neighbor-16: A6ZQH3, Distance: 2.837
Nearest neighbor-17: B0RLE5, Distance: 2.857
Nearest neighbor-18: O52042, Distance: 2.904
Nearest neighbor-19: P08003, Distance: 2.937
Nearest neighbor-20: B4RCD1, Distance: 2.938
Nearest neighbor-21: A3P6Z9, Distance: 2.939
Nearest neighbor-22: Q00248, Distance: 2.940
Nearest neighbor-23: I1WUC2, Distance: 2.942
Nearest neighbor-24: Q62B05, Distance: 2.952
Nearest neighbor-25: Q8FEI7, Distance: 2.952
Nearest neighbor-26: A1AV44, Distance: 3.009
Nearest neighbor-27: P39046, Distance: 3.025
Nearest neighbor-28: Q05623, Distance: 3.028
Nearest neighbor-29: A7MJ63, Distance: 3.043
Nearest neighbor-30: Q11HC6, Distance: 3.044
Nearest neighbor-31: Q8EAZ9, Distance: 3.065
Nearest neighbor-32: P13113, Distance: 3.074
Nearest neighbor-33: B7JYX3, Distance: 3.081
Nearest neighbor-34: O34966, Distance: 3.122
Nearest neighbor-35: P0A217, Distance: 3.143
Nearest neighbor-36: P56416, Distance: 3.143
Nearest neighbor-37: Q52107, Distance: 3.183
Nearest neighbor-38: Q0J9V5, Distance: 3.187
Nearest neighbor-39: Q9UV33, Distance: 3.187
Nearest neighbor-40: P16946, Distance: 3.193
Nearest neighbor-41: P07497, Distance: 3.201
Nearest neighbor-42: P10324, Distance: 3.244
Nearest neighbor-43: Q5N4W8, Distance: 3.260
Nearest neighbor-44: Q9I4Z4, Distance: 3.264
Nearest neighbor-45: P16402, Distance: 3.564
Nearest neighbor-46: P40264, Distance: 3.579
Nearest neighbor-47: A7MAZ5, Distance: 3.729
Nearest neighbor-48: P02251, Distance: 3.757
Nearest neighbor-49: P43277, Distance: 3.798
Nearest neighbor-50: P08286, Distance: 3.865

Query: A0A009HL96
Nearest neighbor-1: Q5HI09, Distance: 0.639
Nearest neighbor-2: P33112, Distance: 0.642
Nearest neighbor-3: Q99VW2, Distance: 0.660
Nearest neighbor-4: Q8CQ37, Distance: 0.675
Nearest neighbor-5: Q99RR6, Distance: 0.750
Nearest neighbor-6: Q9AE24, Distance: 0.779
Nearest neighbor-7: P28257, Distance: 0.784
Nearest neighbor-8: P0CAW8, Distance: 0.789
Nearest neighbor-9: A6WZ81, Distance: 0.853
Nearest neighbor-10: P45189, Distance: 0.885
Nearest neighbor-11: A0A0H2UQ68, Distance: 0.956
Nearest neighbor-12: P0A4H8, Distance: 0.980
Nearest neighbor-13: P0C000, Distance: 1.055
Nearest neighbor-14: Q2FH23, Distance: 1.055
Nearest neighbor-15: Q5HPC3, Distance: 1.102
Nearest neighbor-16: Q1XDE4, Distance: 1.169
Nearest neighbor-17: A0A0H3NGY1, Distance: 1.215
Nearest neighbor-18: P0AA17, Distance: 1.215
Nearest neighbor-19: Q9KM23, Distance: 1.239
Nearest neighbor-20: P26319, Distance: 1.248
Nearest neighbor-21: P96686, Distance: 1.275
Nearest neighbor-22: Q55890, Distance: 1.354
Nearest neighbor-23: Q7A3U5, Distance: 1.360
Nearest neighbor-24: Q5HEP0, Distance: 1.371
Nearest neighbor-25: Q6GFH3, Distance: 1.383
Nearest neighbor-26: Q6G850, Distance: 1.383
Nearest neighbor-27: P44845, Distance: 1.383
Nearest neighbor-28: P23620, Distance: 1.449
Nearest neighbor-29: Q52376, Distance: 1.494
Nearest neighbor-30: Q8NYH3, Distance: 1.670
Nearest neighbor-31: Q6GCL1, Distance: 1.670
Nearest neighbor-32: P60610, Distance: 1.678
Nearest neighbor-33: Q8DVB7, Distance: 1.704
Nearest neighbor-34: Q87S86, Distance: 1.720
Nearest neighbor-35: Q52990, Distance: 1.733
Nearest neighbor-36: A6QJN2, Distance: 1.772
Nearest neighbor-37: Q06065, Distance: 1.802
Nearest neighbor-38: Q4L8Q7, Distance: 1.818
Nearest neighbor-39: Q2KCH7, Distance: 1.826
Nearest neighbor-40: A5VUU3, Distance: 1.826
Nearest neighbor-41: Q8CR97, Distance: 1.897
Nearest neighbor-42: Q2FY80, Distance: 2.050
Nearest neighbor-43: P44578, Distance: 2.066
Nearest neighbor-44: A0PZS6, Distance: 2.121
Nearest neighbor-45: P26778, Distance: 2.136
Nearest neighbor-46: C3P7L0, Distance: 2.154
Nearest neighbor-47: A9VFH8, Distance: 2.154
Nearest neighbor-48: Q819B3, Distance: 2.173
Nearest neighbor-49: P0C1Q1, Distance: 2.202
Nearest neighbor-50: O22022, Distance: 2.317

Query: A0A010Q3W2
Nearest neighbor-1: D1ZEM6, Distance: 1.149
Nearest neighbor-2: Q2UUT4, Distance: 1.179
Nearest neighbor-3: A2QI22, Distance: 1.235
Nearest neighbor-4: P0CS56, Distance: 1.237
Nearest neighbor-5: A1CXL0, Distance: 1.244
Nearest neighbor-6: P0CS29, Distance: 1.286
Nearest neighbor-7: Q9S7I8, Distance: 1.298
Nearest neighbor-8: Q9SU78, Distance: 1.312
Nearest neighbor-9: Q9P7C0, Distance: 1.318
Nearest neighbor-10: A2RAG5, Distance: 1.326
Nearest neighbor-11: C1GB49, Distance: 1.326
Nearest neighbor-12: O35828, Distance: 1.332
Nearest neighbor-13: Q8VYZ5, Distance: 1.352
Nearest neighbor-14: O82266, Distance: 1.358
Nearest neighbor-15: Q652L2, Distance: 1.370
Nearest neighbor-16: Q20059, Distance: 1.371
Nearest neighbor-17: Q6C709, Distance: 1.371
Nearest neighbor-18: A8NZM5, Distance: 1.381
Nearest neighbor-19: A1CBB8, Distance: 1.384
Nearest neighbor-20: Q8TEB1, Distance: 1.391
Nearest neighbor-21: Q5NVM2, Distance: 1.393
Nearest neighbor-22: A4IGH4, Distance: 1.400
Nearest neighbor-23: C5DF48, Distance: 1.410
Nearest neighbor-24: A8XSW2, Distance: 1.420
Nearest neighbor-25: G5EEG7, Distance: 1.437
Nearest neighbor-26: Q4R4I8, Distance: 1.438
Nearest neighbor-27: Q8BX09, Distance: 1.441
Nearest neighbor-28: Q8CFJ9, Distance: 1.451
Nearest neighbor-29: Q9LJN8, Distance: 1.461
Nearest neighbor-30: O43660, Distance: 1.463
Nearest neighbor-31: Q9WUC8, Distance: 1.467
Nearest neighbor-32: Q24246, Distance: 1.475
Nearest neighbor-33: Q8R2N2, Distance: 1.479
Nearest neighbor-34: Q05B30, Distance: 1.487
Nearest neighbor-35: Q8GYE0, Distance: 1.491
Nearest neighbor-36: P0DL28, Distance: 1.494
Nearest neighbor-37: O74340, Distance: 1.495
Nearest neighbor-38: Q2T9T9, Distance: 1.498
Nearest neighbor-39: Q8C6G8, Distance: 1.512
Nearest neighbor-40: Q5VQ78, Distance: 1.525
Nearest neighbor-41: P93107, Distance: 1.525
Nearest neighbor-42: P54319, Distance: 1.550
Nearest neighbor-43: P0CS40, Distance: 1.550
Nearest neighbor-44: Q6KAU8, Distance: 1.581
Nearest neighbor-45: A2QPW4, Distance: 1.587
Nearest neighbor-46: Q9FMU5, Distance: 1.592
Nearest neighbor-47: Q9Y263, Distance: 1.598
Nearest neighbor-48: Q75E14, Distance: 1.631
Nearest neighbor-49: Q7ZTY4, Distance: 1.638
Nearest neighbor-50: Q3SWZ7, Distance: 1.882

Query: A0A009HQC9
Nearest neighbor-1: Q0HR19, Distance: 0.519
Nearest neighbor-2: Q0HMR2, Distance: 0.521
Nearest neighbor-3: A0KGL5, Distance: 0.521
Nearest neighbor-4: A1A7A6, Distance: 0.573
Nearest neighbor-5: A7ZW09, Distance: 0.579
Nearest neighbor-6: B0BT63, Distance: 0.579
Nearest neighbor-7: A7MSB2, Distance: 0.586
Nearest neighbor-8: Q48LP5, Distance: 0.609
Nearest neighbor-9: B5FI41, Distance: 0.610
Nearest neighbor-10: Q5PDF0, Distance: 0.613
Nearest neighbor-11: Q3KGV8, Distance: 0.669
Nearest neighbor-12: Q9HYT6, Distance: 0.745
Nearest neighbor-13: A7FKM4, Distance: 0.940
Nearest neighbor-14: C5BEJ2, Distance: 0.943
Nearest neighbor-15: B5F076, Distance: 0.987
Nearest neighbor-16: Q57RF9, Distance: 0.987
Nearest neighbor-17: C0PWY7, Distance: 0.987
