IVFPQ

Query: A0A002
Nearest neighbor-1: Q13BH6, Distance: 1.433
Nearest neighbor-29: Q8CFJ9, Distance: 1.451
Nearest neighbor-30: Q9LJN8, Distance: 1.461
Nearest neighbor-31: Q24246, Distance: 1.475
Nearest neighbor-32: Q8R2N2, Distance: 1.479
Nearest neighbor-33: Q8BH57, Distance: 1.483
Nearest neighbor-34: Q05B30, Distance: 1.487
Nearest neighbor-35: Q8GYE0, Distance: 1.491
Nearest neighbor-36: P0DL28, Distance: 1.494
Nearest neighbor-37: O74340, Distance: 1.495
Nearest neighbor-38: Q2T9T9, Distance: 1.498
Nearest neighbor-39: Q8C6G8, Distance: 1.512
Nearest neighbor-40: Q6TEN6, Distance: 1.517
Nearest neighbor-41: Q5VQ78, Distance: 1.525
Nearest neighbor-42: P93107, Distance: 1.525
Nearest neighbor-43: P54319, Distance: 1.550
Nearest neighbor-44: P0CS40, Distance: 1.550
Nearest neighbor-45: Q6KAU8, Distance: 1.581
Nearest neighbor-46: Q9FMU5, Distance: 1.592
Nearest neighbor-47: Q9Y263, Distance: 1.598
Nearest neighbor-48: Q75E14, Distance: 1.631
Nearest neighbor-49: Q9WTV0, Distance: 1.634
Nearest neighbor-50: Q7ZTY4, Distance: 1.638

Query: A0A009PCK4
Nearest neighbor-1: P14181, Distance: 1.671
Nearest neighbor-2: A5UG81, Distance: 1.720
Nearest neighbor-3: Q4QLU9, Distance: 1.912
Nearest neighbor-4: Q8EKA0, Distance: 1.993
Nearest neighbor-5: Q7MHY6, Distance: 2.008
Nearest neighbor-6: A1SW96, Distance: 2.015
Nearest neighbor-7: P44150, Distance: 2.020
Nearest neighbor-8: Q1Q8I2, Distance: 2.029
Nearest neighbor-9: Q7MAX6, Distance: 2.036
Nearest neighbor-10: B2K7I7, Distance: 2.037
Nearest neighbor-11: Q87PM1, Distance: 2.038
Nearest neighbor-12: Q8EIL1, Distance: 2.046
Nearest neighbor-13: Q7VP87, Distance: 2.048
Nearest neighbor-14: P75612, Distance: 2.061
Nearest neighbor-15: B0VRJ4, Distance: 2.069
Nearest neighbor-16: B0V636, Distance: 2.098
Nearest neighbor-17: Q5WWF9, Distance: 2.103
Nearest neighbor-18: P20098, Distance: 2.108
Nearest neighbor-19: A6VLF9, Distance: 2.119
Nearest neighbor-20: Q9CPH1, Distance: 2.131
Nearest neighbor-21: E1WH94, Distance: 2.133
Nearest neighbor-22: P54504, Distance: 2.133
Nearest neighbor-23: P0DMD0, Distance: 2.138
Nearest neighbor-24: Q7VM59, Distance: 2.139
Nearest neighbor-25: Q12R91, Distance: 2.147
Nearest neighbor-26: A1RP91, Distance: 2.148
Nearest neighbor-27: Q3IHQ6, Distance: 2.154
Nearest neighbor-28: B0V7R3, Distance: 2.158
Nearest neighbor-29: B4ET17, Distance: 2.158
Nearest neighbor-30: B7UKC3, Distance: 2.165
Nearest neighbor-31: A1AGU2, Distance: 2.168
Nearest neighbor-32: Q1R5L6, Distance: 2.168
Nearest neighbor-33: B2TWG0, Distance: 2.200
Nearest neighbor-34: Q12SP8, Distance: 2.208
Nearest neighbor-35: B0UWL8, Distance: 2.213
Nearest neighbor-36: Q9CL07, Distance: 2.214
Nearest neighbor-37: Q0I4C6, Distance: 2.249
Nearest neighbor-38: Q83CQ2, Distance: 2.252
Nearest neighbor-39: Q087P4, Distance: 2.255
Nearest neighbor-40: Q3YZN7, Distance: 2.276
Nearest neighbor-41: Q8XCQ7, Distance: 2.279
Nearest neighbor-42: A1ADH3, Distance: 2.285
Nearest neighbor-43: Q0HVY7, Distance: 2.297
Nearest neighbor-44: P75363, Distance: 2.319
Nearest neighbor-45: Q1CGA8, Distance: 2.330
Nearest neighbor-46: Q6D3S2, Distance: 2.360
Nearest neighbor-47: Q6LP62, Distance: 2.420
Nearest neighbor-48: Q4A9N3, Distance: 2.423
Nearest neighbor-49: B1JQP6, Distance: 2.426
Nearest neighbor-50: Q9KBG1, Distance: 2.527

Query: A0A009HL96
Nearest neighbor-1: Q5HI09, Distance: 0.639
Nearest neighbor-2: P33112, Distance: 0.642
Nearest neighbor-3: Q99VW2, Distance: 0.660
Nearest neighbor-4: Q8CQ37, Distance: 0.675
Nearest neighbor-5: Q99RR6, Distance: 0.750
Nearest neighbor-6: Q9AE24, Distance: 0.779
Nearest neighbor-7: P28257, Distance: 0.784
Nearest neighbor-8: P0CAW8, Distance: 0.789
Nearest neighbor-9: A6WZ81, Distance: 0.853
Nearest neighbor-10: P45189, Distance: 0.885
Nearest neighbor-11: A0A0H2UQ68, Distance: 0.956
Nearest neighbor-12: P0A4H8, Distance: 0.980
Nearest neighbor-13: P0C000, Distance: 1.055
Nearest neighbor-14: Q2FH23, Distance: 1.055
Nearest neighbor-15: Q5HPC3, Distance: 1.102
Nearest neighbor-16: Q1XDE4, Distance: 1.169
Nearest neighbor-17: A0A0H3NGY1, Distance: 1.215
Nearest neighbor-18: P0AA17, Distance: 1.215
Nearest neighbor-19: Q9KM23, Distance: 1.239
Nearest neighbor-20: P26319, Distance: 1.248
Nearest neighbor-21: P96686, Distance: 1.275
Nearest neighbor-22: Q55890, Distance: 1.354
Nearest neighbor-23: Q7A3U5, Distance: 1.360
Nearest neighbor-24: Q5HEP0, Distance: 1.371
Nearest neighbor-25: Q6G850, Distance: 1.383
Nearest neighbor-26: Q6GFH3, Distance: 1.383
Nearest neighbor-27: P44845, Distance: 1.383
Nearest neighbor-28: P23620, Distance: 1.449
Nearest neighbor-29: Q52376, Distance: 1.494
Nearest neighbor-30: Q52990, Distance: 1.733
Nearest neighbor-31: Q9ZM64, Distance: 1.744
Nearest neighbor-32: Q8GVV6, Distance: 1.750
Nearest neighbor-33: A1W0A5, Distance: 1.752
Nearest neighbor-34: A6QJN2, Distance: 1.772
Nearest neighbor-35: Q06065, Distance: 1.802
Nearest neighbor-36: Q4L8Q7, Distance: 1.818
Nearest neighbor-37: Q2KCH7, Distance: 1.826
Nearest neighbor-38: A5VUU3, Distance: 1.826
Nearest neighbor-39: A9MBQ2, Distance: 1.826
Nearest neighbor-40: Q73RG3, Distance: 1.844
Nearest neighbor-41: Q8D5Z6, Distance: 1.852
Nearest neighbor-42: Q8CR97, Distance: 1.897
Nearest neighbor-43: Q2FY80, Distance: 2.050
Nearest neighbor-44: C3P7L0, Distance: 2.154
Nearest neighbor-45: A9VFH8, Distance: 2.154
Nearest neighbor-46: Q819B3, Distance: 2.173
Nearest neighbor-47: Q93CH6, Distance: 2.191
Nearest neighbor-48: O07014, Distance: 2.292
Nearest neighbor-49: O05404, Distance: 2.455
Nearest neighbor-50: P44790, Distance: 2.503

Query: A0A009IB02
Nearest neighbor-1: P10802, Distance: 1.189
Nearest neighbor-2: P11961, Distance: 1.983
Nearest neighbor-3: Q9SQI8, Distance: 2.006
Nearest neighbor-4: P49786, Distance: 2.008
Nearest neighbor-5: P22439, Distance: 2.194
Nearest neighbor-6: P43874, Distance: 2.221
Nearest neighbor-7: P29337, Distance: 2.289
Nearest neighbor-8: P02904, Distance: 2.351
Nearest neighbor-9: P0ABE1, Distance: 2.443
Nearest neighbor-10: Q06881, Distance: 2.475
Nearest neighbor-11: Q68XI8, Distance: 2.551
Nearest neighbor-12: B5XWP9, Distance: 2.557
Nearest neighbor-13: A9N025, Distance: 2.626
Nearest neighbor-14: P39099, Distance: 2.656
Nearest neighbor-15: C6DH15, Distance: 2.663
Nearest neighbor-16: P0ADA3, Distance: 2.698
Nearest neighbor-17: Q9Z4H7, Distance: 2.725
Nearest neighbor-18: O06432, Distance: 2.765
Nearest neighbor-19: A5TY84, Distance: 2.767
Nearest neighbor-20: Q6G9D9, Distance: 2.771
Nearest neighbor-21: A1JKX1, Distance: 2.772
Nearest neighbor-22: P54744, Distance: 2.774
Nearest neighbor-23: B5RCZ3, Distance: 2.774
Nearest neighbor-24: A1AE54, Distance: 2.800
Nearest neighbor-25: Q0TEW9, Distance: 2.802
Nearest neighbor-26: Q4R4J7, Distance: 2.806
Nearest neighbor-27: Q4IJH1, Distance: 2.822
Nearest neighbor-28: A6ZQH3, Distance: 2.837
Nearest neighbor-29: B0RLE5, Distance: 2.857
Nearest neighbor-30: Q9TYV5, Distance: 2.861
Nearest neighbor-31: Q4P3U9, Distance: 2.871
Nearest neighbor-32: Q8G6W2, Distance: 2.877
Nearest neighbor-33: Q5AJD0, Distance: 2.900
Nearest neighbor-34: O32219, Distance: 2.909
Nearest neighbor-35: P08003, Distance: 2.937
Nearest neighbor-36: B4RCD1, Distance: 2.938
Nearest neighbor-37: P13113, Distance: 3.074
Nearest neighbor-38: O34966, Distance: 3.122
Nearest neighbor-39: Q8DQ24, Distance: 3.149
Nearest neighbor-40: C1CK62, Distance: 3.150
Nearest neighbor-41: Q9SDD6, Distance: 3.177
Nearest neighbor-42: P16946, Distance: 3.193
Nearest neighbor-43: Q9L7M1, Distance: 3.199
Nearest neighbor-44: Q71XE6, Distance: 3.266
Nearest neighbor-45: Q929F4, Distance: 3.281
Nearest neighbor-46: P9WN17, Distance: 3.312
Nearest neighbor-47: P9WN16, Distance: 3.312
Nearest neighbor-48: B0RLE8, Distance: 3.322
Nearest neighbor-49: Q82S91, Distance: 3.438
Nearest neighbor-50: Q06320, Distance: 3.564

Query: A0A009I3Y5
Nearest neighbor-1: P14181, Distance: 1.687
Nearest neighbor-2: A5UG81, Distance: 1.750
Nearest neighbor-3: Q4QLU9, Distance: 1.906
Nearest neighbor-4: Q8EKA0, Distance: 1.989
Nearest neighbor-5: Q7MHY6, Distance: 2.003
Nearest neighbor-6: A1SW96, Distance: 2.021
Nearest neighbor-7: B2K7I7, Distance: 2.026
Nearest neighbor-8: P44150, Distance: 2.027
Nearest neighbor-9: Q8EIL1, Distance: 2.030
Nearest neighbor-10: Q7MAX6, Distance: 2.032
Nearest neighbor-11: Q1Q8I2, Distance: 2.037
Nearest neighbor-12: Q7VP87, Distance: 2.039
Nearest neighbor-13: Q87PM1, Distance: 2.044
Nearest neighbor-14: P75612, Distance: 2.058
Nearest neighbor-15: B0VRJ4, Distance: 2.063
Nearest neighbor-16: B0V636, Distance: 2.109
Nearest neighbor-17: Q5WWF9, Distance: 2.111
Nearest neighbor-18: P20098, Distance: 2.112
Nearest neighbor-19: A6VLF9, Distance: 2.114
Nearest neighbor-20: E1WH94, Distance: 2.116
Nearest neighbor-21: Q9CPH1, Distance: 2.116
Nearest neighbor-22: P54504, Distance: 2.131
Nearest neighbor-23: P0DMD0, Distance: 2.137
Nearest neighbor-24: A1RP91, Distance: 2.138
Nearest neighbor-25: Q12R91, Distance: 2.139
Nearest neighbor-26: Q7VM59, Distance: 2.141
Nearest neighbor-27: B4ET17, Distance: 2.150
Nearest neighbor-28: B0V7R3, Distance: 2.152
Nearest neighbor-29: Q3IHQ6, Distance: 2.156
Nearest neighbor-30: B7UKC3, Distance: 2.162
Nearest neighbor-31: Q1R5L6, Distance: 2.164
Nearest neighbor-32: A1AGU2, Distance: 2.164
Nearest neighbor-33: P47448, Distance: 2.167
Nearest neighbor-34: B2TWG0, Distance: 2.197
Nearest neighbor-35: Q12SP8, Distance: 2.200
Nearest neighbor-36: B0UWL8, Distance: 2.206
Nearest neighbor-37: Q9CL07, Distance: 2.214
Nearest neighbor-38: Q087P4, Distance: 2.242
Nearest neighbor-39: Q0I4C6, Distance: 2.246
Nearest neighbor-40: Q83CQ2, Distance: 2.252
Nearest neighbor-41: Q3YZN7, Distance: 2.279
Nearest neighbor-42: Q8XCQ7, Distance: 2.284
Nearest neighbor-43: A1ADH3, Distance: 2.291
Nearest neighbor-44: P75363, Distance: 2.300
Nearest neighbor-45: Q1CGA8, Distance: 2.319
Nearest neighbor-46: Q6D3S2, Distance: 2.351
Nearest neighbor-47: B1JQP6, Distance: 2.424
Nearest neighbor-48: Q6LP62, Distance: 2.430
Nearest neighbor-49: Q4A9N3, Distance: 2.430
Nearest neighbor-50: Q9KBG1, Distance: 2.533

Query: A0A009HPM0
Nearest neighbor-1: Q612F5, Distance: 1.270
Nearest neighbor-2: B2TWG0, Distance: 1.437
Nearest neighbor-3: B1LNS5, Distance: 1.449
Nearest neighbor-4: Q88XP4, Distance: 1.452
Nearest neighbor-5: A1RP91, Distance: 1.454
Nearest neighbor-6: B5BJN9, Distance: 1.457
Nearest neighbor-7: Q5PK68, Distance: 1.457
Nearest neighbor-8: Q5E320, Distance: 1.480
Nearest neighbor-9: B0VRJ4, Distance: 1.482
Nearest neighbor-10: Q7MHY6, Distance: 1.486
Nearest neighbor-11: A6VLF9, Distance: 1.487
Nearest neighbor-12: Q7MAX6, Distance: 1.495
Nearest neighbor-13: A3QHZ8, Distance: 1.497
Nearest neighbor-14: B0VKL3, Distance: 1.506
Nearest neighbor-15: P57029, Distance: 1.507
Nearest neighbor-16: A8GL74, Distance: 1.512
Nearest neighbor-17: Q12SP8, Distance: 1.523
Nearest neighbor-18: C5BC48, Distance: 1.536
Nearest neighbor-19: B1IRN3, Distance: 1.543
Nearest neighbor-20: B4ET17, Distance: 1.559
Nearest neighbor-21: Q9CL07, Distance: 1.567
Nearest neighbor-22: Q08346, Distance: 1.575
Nearest neighbor-23: Q65R09, Distance: 1.583
Nearest neighbor-24: B5BG31, Distance: 1.584
Nearest neighbor-25: B6I4D2, Distance: 1.588
Nearest neighbor-26: Q7MIT5, Distance: 1.600
Nearest neighbor-27: Q0I4C6, Distance: 1.603
Nearest neighbor-28: Q04P21, Distance: 1.621
Nearest neighbor-29: Q6D3S2, Distance: 1.623
Nearest neighbor-30: Q3MEJ8, Distance: 1.649
Nearest neighbor-31: Q2NQZ6, Distance: 1.651
Nearest neighbor-32: B0BTC2, Distance: 1.657
Nearest neighbor-33: Q5E3W9, Distance: 1.657
Nearest neighbor-34: B3ER86, Distance: 1.657
Nearest neighbor-35: Q3IBW7, Distance: 1.657
Nearest neighbor-36: P54504, Distance: 1.658
Nearest neighbor-37: B1KHV0, Distance: 1.659
Nearest neighbor-38: A6VW36, Distance: 1.691
Nearest neighbor-39: Q1CGA8, Distance: 1.694
Nearest neighbor-40: Q6G5Y5, Distance: 1.716
Nearest neighbor-41: Q83CQ2, Distance: 1.722
Nearest neighbor-42: P45544, Distance: 1.725
Nearest neighbor-43: B0V7R3, Distance: 1.730
Nearest neighbor-44: Q9CPH1, Distance: 1.749
Nearest neighbor-45: Q3KFC5, Distance: 1.772
Nearest neighbor-46: Q48JX8, Distance: 1.809
Nearest neighbor-47: Q6AQA5, Distance: 1.810
Nearest neighbor-48: C5BED3, Distance: 1.814
Nearest neighbor-49: Q12KV7, Distance: 1.864
Nearest neighbor-50: A5UG81, Distance: 2.073

Query: A0A001
Nearest neighbor-1: P9WQJ3, Distance: 1.340
Nearest neighbor-2: Q13BH6, Distance: 1.423
Nearest neighbor-3: Q9ZEP3, Distance: 1.757
Nearest neighbor-4: A0K739, Distance: 1.761
Nearest neighbor-5: Q8P8W4, Distance: 1.770
Nearest neighbor-6: Q3JSR6, Distance: 1.794
Nearest neighbor-7: P23886, Distance: 1.808
Nearest neighbor-8: Q21BF6, Distance: 1.831
Nearest neighbor-9: Q7WGW1, Distance: 1.919
Nearest neighbor-10: Q7VZE5, Distance: 1.923
Nearest neighbor-11: P9WHR1, Distance: 1.967
Nearest neighbor-12: P9WHR0, Distance: 1.967
Nearest neighbor-13: Q9RQQ9, Distance: 2.078
Nearest neighbor-14: P64708, Distance: 2.081
Nearest neighbor-15: A5WJJ8, Distance: 2.081
Nearest neighbor-16: D3KU66, Distance: 2.085
Nearest neighbor-17: Q02998, Distance: 2.120
Nearest neighbor-18: A4X1R6, Distance: 2.124
Nearest neighbor-19: A1UKA3, Distance: 2.142
Nearest neighbor-20: Q2NSZ1, Distance: 2.147
Nearest neighbor-21: P33973, Distance: 2.149
Nearest neighbor-22: P9WGX2, Distance: 2.154
Nearest neighbor-23: P9WQ35, Distance: 2.158
Nearest neighbor-24: Q4ZZK0, Distance: 2.161
Nearest neighbor-25: Q82G92, Distance: 2.164
Nearest neighbor-26: A0QF52, Distance: 2.174
Nearest neighbor-27: C7MSY6, Distance: 2.175
Nearest neighbor-28: B1M0E0, Distance: 2.181
Nearest neighbor-29: B1VN94, Distance: 2.190
Nearest neighbor-30: D2Q1C4, Distance: 2.194
Nearest neighbor-31: B8J6V6, Distance: 2.211
Nearest neighbor-32: E1V4F9, Distance: 2.215
Nearest neighbor-33: O86331, Distance: 2.222
Nearest neighbor-34: A0QS28, Distance: 2.223
Nearest neighbor-35: C1AU55, Distance: 2.227
Nearest neighbor-36: Q66D71, Distance: 2.255
Nearest neighbor-37: Q5YYX9, Distance: 2.271
Nearest neighbor-38: C5C246, Distance: 2.273
Nearest neighbor-39: B7GQ78, Distance: 2.276
Nearest neighbor-40: Q3KJS6, Distance: 2.299
Nearest neighbor-41: A9INR9, Distance: 2.315
Nearest neighbor-42: C1A0S6, Distance: 2.324
Nearest neighbor-43: A3NWL7, Distance: 2.341
Nearest neighbor-44: Q3Z3V4, Distance: 2.347
Nearest neighbor-45: P75796, Distance: 2.353
Nearest neighbor-46: A9W3H8, Distance: 2.447
Nearest neighbor-47: Q2P4Y9, Distance: 2.460
Nearest neighbor-48: A9IMI9, Distance: 2.486
Nearest neighbor-49: Q8ZQR6, Distance: 2.538
Nearest neighbor-50: Q7N3Q4, Distance: 2.820

Query: A0A009HQC9
Nearest neighbor-1: Q0HR19, Distance: 0.519
Nearest neighbor-2: Q0HMR2, Distance: 0.521
Nearest neighbor-3: A0KGL5, Distance: 0.521
Nearest neighbor-4: A1A7A6, Distance: 0.573
Nearest neighbor-5: A7ZW09, Distance: 0.579
Nearest neighbor-6: B0BT63, Distance: 0.579
Nearest neighbor-7: A7MSB2, Distance: 0.586
Nearest neighbor-8: Q48LP5, Distance: 0.609
Nearest neighbor-9: B5FI41, Distance: 0.610
Nearest neighbor-10: Q5PDF0, Distance: 0.613
Nearest neighbor-11: Q3KGV8, Distance: 0.669
Nearest neighbor-12: Q9HYT6, Distance: 0.745
Nearest neighbor-13: A7FKM4, Distance: 0.940
Nearest neighbor-14: C5BEJ2, Distance: 0.943
Nearest neighbor-15: Q57RF9, Distance: 0.987
Nearest neighbor-16: C0PWY7, Distance: 0.987
Nearest neighbor-17: A9MTI2, Distance: 0.987
Nearest neighbor-18: B5F076, Distance: 0.987
Nearest neighbor-19: Q5X0E6, Distance: 0.999
Nearest neighbor-20: A4W8C2, Distance: 1.027
Nearest neighbor-21: A7ZY35, Distance: 1.051
Nearest neighbor-22: B7NA78, Distance: 1.051
Nearest neighbor-23: B8G8R1, Distance: 1.109
Nearest neighbor-24: A9WT85, Distance: 1.115
Nearest neighbor-25: Q50939, Distance: 1.140
Nearest neighbor-26: Q1JBD1, Distance: 1.148
Nearest neighbor-27: Q99ZA5, Distance: 1.154
Nearest neighbor-28: C0MBD7, Distance: 1.170
Nearest neighbor-29: Q9ZDW2, Distance: 1.170
Nearest neighbor-30: Q8ZQN7, Distance: 1.172
Nearest neighbor-31: P52126, Distance: 1.176
Nearest neighbor-32: A1W465, Distance: 1.196
Nearest neighbor-33: Q54986, Distance: 1.196
Nearest neighbor-34: B1IC35, Distance: 1.199
Nearest neighbor-35: B0TGY6, Distance: 1.201
Nearest neighbor-36: Q47EI2, Distance: 1.202
Nearest neighbor-37: Q884C9, Distance: 1.206
Nearest neighbor-38: A1VDN0, Distance: 1.212
Nearest neighbor-39: Q7W8V6, Distance: 1.219
Nearest neighbor-40: Q03AL7, Distance: 1.219
Nearest neighbor-41: Q3SIK7, Distance: 1.221
Nearest neighbor-42: Q8CWX7, Distance: 1.227
Nearest neighbor-43: A3CNJ9, Distance: 1.237
Nearest neighbor-44: Q49VV6, Distance: 1.241
Nearest neighbor-45: B6IUW0, Distance: 1.251
Nearest neighbor-46: Q3Z9B4, Distance: 1.276
Nearest neighbor-47: Q71WT9, Distance: 1.288
Nearest neighbor-48: P18074, Distance: 1.364
Nearest neighbor-49: Q641Y8, Distance: 1.395
Nearest neighbor-50: Q9T1Q7, Distance: 1.414

Query: A0A009HLV9
Nearest neighbor-1: P28787, Distance: 0.570
Nearest neighbor-2: Q06065, Distance: 0.887
Nearest neighbor-3: Q5E3W8, Distance: 0.915
Nearest neighbor-4: P23747, Distance: 0.951
Nearest neighbor-5: O87455, Distance: 0.955
Nearest neighbor-6: P59402, Distance: 0.987
Nearest neighbor-7: A8A3I6, Distance: 0.999
Nearest neighbor-8: B6I695, Distance: 1.009
Nearest neighbor-9: A1KU52, Distance: 1.011
Nearest neighbor-10: B7N6T9, Distance: 1.013
Nearest neighbor-11: Q0TEH1, Distance: 1.015
Nearest neighbor-12: B4T3B0, Distance: 1.029
Nearest neighbor-13: B4TT16, Distance: 1.039
Nearest neighbor-14: Q8EEF3, Distance: 1.051
Nearest neighbor-15: P37931, Distance: 1.066
Nearest neighbor-16: B5F3J7, Distance: 1.088
Nearest neighbor-17: P66756, Distance: 1.088
Nearest neighbor-18: P0A812, Distance: 1.095
Nearest neighbor-19: Q15RN6, Distance: 1.100
Nearest neighbor-20: B7NBL1, Distance: 1.103
Nearest neighbor-21: Q03R36, Distance: 1.103
Nearest neighbor-22: Q03YJ6, Distance: 1.105
Nearest neighbor-23: A5FRK7, Distance: 1.124
Nearest neighbor-24: Q220I3, Distance: 1.135
Nearest neighbor-25: B0JY77, Distance: 1.142
Nearest neighbor-26: P71229, Distance: 1.153
Nearest neighbor-27: A1U1B9, Distance: 1.176
Nearest neighbor-28: A4STH5, Distance: 1.188
Nearest neighbor-29: Q5H2A4, Distance: 1.188
Nearest neighbor-30: Q3BQF5, Distance: 1.191
Nearest neighbor-31: Q13UC0, Distance: 1.192
Nearest neighbor-32: P0DF50, Distance: 1.220
Nearest neighbor-33: Q88V03, Distance: 1.229
Nearest neighbor-34: Q9KDI8, Distance: 1.240
Nearest neighbor-35: P61529, Distance: 1.248
Nearest neighbor-36: Q503W7, Distance: 1.254
Nearest neighbor-37: Q83BE0, Distance: 1.259
Nearest neighbor-38: Q92BI2, Distance: 1.263
Nearest neighbor-39: Q6HDA6, Distance: 1.284
Nearest neighbor-40: Q634C4, Distance: 1.284
Nearest neighbor-41: Q817W4, Distance: 1.289
Nearest neighbor-42: B4SDZ7, Distance: 1.295
Nearest neighbor-43: A8ZUH7, Distance: 1.313
Nearest neighbor-44: O94449, Distance: 1.336
Nearest neighbor-45: P29570, Distance: 1.380
Nearest neighbor-46: Q05B83, Distance: 1.416
Nearest neighbor-47: A2SQT3, Distance: 1.423
Nearest neighbor-48: Q8SQI9, Distance: 1.523
Nearest neighbor-49: C5A6P8, Distance: 1.605
Nearest neighbor-50: P48601, Distance: 1.619

Query: A0A010Q8R4
Nearest neighbor-1: Q9P4R5, Distance: 1.221
Nearest neighbor-2: Q652L2, Distance: 1.226
Nearest neighbor-3: P0CS56, Distance: 1.244
Nearest neighbor-4: P0CS29, Distance: 1.268
Nearest neighbor-5: Q5NVM2, Distance: 1.330
Nearest neighbor-6: Q2UUT4, Distance: 1.341
Nearest neighbor-7: Q6CXX3, Distance: 1.349
Nearest neighbor-8: A1CBB8, Distance: 1.373
Nearest neighbor-9: Q9P7C0, Distance: 1.379
Nearest neighbor-10: Q24246, Distance: 1.385
Nearest neighbor-11: A2RAG5, Distance: 1.388
Nearest neighbor-12: Q9SU78, Distance: 1.397
Nearest neighbor-13: A1DE24, Distance: 1.432
Nearest neighbor-14: Q9VKK2, Distance: 1.434
Nearest neighbor-15: Q8BX09, Distance: 1.439
Nearest neighbor-16: Q5ZMV9, Distance: 1.462
