IVFPQ

Query: A0A010Q8R4
Nearest neighbor-1: P0CS56, Distance: 1.244
Nearest neighbor-3: P59402, Distance: 0.987
Nearest neighbor-4: A8A3I6, Distance: 0.999
Nearest neighbor-5: B6I695, Distance: 1.009
Nearest neighbor-6: B7N6T9, Distance: 1.013
Nearest neighbor-7: Q0TEH1, Distance: 1.015
Nearest neighbor-8: Q03YJ6, Distance: 1.105
Nearest neighbor-9: Q9KDI8, Distance: 1.240
Nearest neighbor-10: A5WFF6, Distance: 1.312

Query: A0A010Q3W2
Nearest neighbor-1: Q2UUT4, Distance: 1.179
Nearest neighbor-2: A2QI22, Distance: 1.235
Nearest neighbor-3: P0CS56, Distance: 1.237
Nearest neighbor-4: A1CXL0, Distance: 1.244
Nearest neighbor-5: Q9S7I8, Distance: 1.298
Nearest neighbor-6: Q9SU78, Distance: 1.312
Nearest neighbor-7: O35828, Distance: 1.332
Nearest neighbor-8: A8NZM5, Distance: 1.381
Nearest neighbor-9: Q8CFJ9, Distance: 1.451
Nearest neighbor-10: Q24246, Distance: 1.475

Query: A0A009HL96
Nearest neighbor-1: P33112, Distance: 0.642
Nearest neighbor-2: Q99RR6, Distance: 0.750
Nearest neighbor-3: Q9AE24, Distance: 0.779
Nearest neighbor-4: P0C000, Distance: 1.055
Nearest neighbor-5: Q2FH23, Distance: 1.055
Nearest neighbor-6: Q5HPC3, Distance: 1.102
Nearest neighbor-7: P0AA17, Distance: 1.215
Nearest neighbor-8: A0A0H3NGY1, Distance: 1.215
Nearest neighbor-9: Q55890, Distance: 1.354
Nearest neighbor-10: P23620, Distance: 1.449

Query: A0A009I3Y5
Nearest neighbor-1: A5UG81, Distance: 1.750
Nearest neighbor-2: Q4QLU9, Distance: 1.906
Nearest neighbor-3: Q8EIL1, Distance: 2.030
Nearest neighbor-4: Q9CPH1, Distance: 2.116
Nearest neighbor-5: Q7VM59, Distance: 2.141
Nearest neighbor-6: B0V7R3, Distance: 2.152
Nearest neighbor-7: B0VKL3, Distance: 2.238
Nearest neighbor-8: P45544, Distance: 2.253
Nearest neighbor-9: Q1CHL1, Distance: 2.328
Nearest neighbor-10: A7FGL1, Distance: 2.334

Query: A0A009PCK4
Nearest neighbor-1: A5UG81, Distance: 1.720
Nearest neighbor-2: Q4QLU9, Distance: 1.912
Nearest neighbor-3: Q8EIL1, Distance: 2.046
Nearest neighbor-4: Q9CPH1, Distance: 2.131
Nearest neighbor-5: Q7VM59, Distance: 2.139
Nearest neighbor-6: B0V7R3, Distance: 2.158
Nearest neighbor-7: B0VKL3, Distance: 2.245
Nearest neighbor-8: P45544, Distance: 2.256
Nearest neighbor-9: Q1CHL1, Distance: 2.326
Nearest neighbor-10: A7FGL1, Distance: 2.332

Query: A0A009HN45
Nearest neighbor-1: A7MSB2, Distance: 0.681
Nearest neighbor-2: Q9ZDW2, Distance: 0.740
Nearest neighbor-3: B0BT63, Distance: 0.760
Nearest neighbor-4: P52126, Distance: 0.792
Nearest neighbor-5: Q0HMR2, Distance: 0.792
Nearest neighbor-6: Q0HR19, Distance: 0.796
Nearest neighbor-7: Q5X0E6, Distance: 0.828
Nearest neighbor-8: P0C9B2, Distance: 0.846
Nearest neighbor-9: Q9ZKA0, Distance: 0.868
Nearest neighbor-10: Q65191, Distance: 1.163


