IVFPQ

Query: A0A009HQC9
Nearest neighbor-1: Q0HR19, Distance: 0.519
Nearest neighbor-5: P28257, Distance: 0.784
Nearest neighbor-6: P0CAW8, Distance: 0.789
Nearest neighbor-7: A6WZ81, Distance: 0.853
Nearest neighbor-8: P45189, Distance: 0.885
Nearest neighbor-9: A0A0H2UQ68, Distance: 0.956
Nearest neighbor-10: P0A4H8, Distance: 0.980

Query: A0A001
Nearest neighbor-1: P9WQJ3, Distance: 1.340
Nearest neighbor-2: Q03024, Distance: 1.465
Nearest neighbor-3: Q3JSR6, Distance: 1.794
Nearest neighbor-4: P64708, Distance: 2.081
Nearest neighbor-5: A5WJJ8, Distance: 2.081
Nearest neighbor-6: D3KU66, Distance: 2.085
Nearest neighbor-7: A4X1R6, Distance: 2.124
Nearest neighbor-8: A1UKA3, Distance: 2.142
Nearest neighbor-9: Q82G92, Distance: 2.164
Nearest neighbor-10: B1VN94, Distance: 2.190

Query: A0A009HN45
Nearest neighbor-1: A7MSB2, Distance: 0.681
Nearest neighbor-2: Q9ZDW2, Distance: 0.740
Nearest neighbor-3: B0BT63, Distance: 0.760
Nearest neighbor-4: P52126, Distance: 0.792
Nearest neighbor-5: Q99ZA5, Distance: 0.806
Nearest neighbor-6: Q1JBD1, Distance: 0.807
Nearest neighbor-7: P0C9B2, Distance: 0.846
Nearest neighbor-8: Q03AL7, Distance: 0.856
Nearest neighbor-9: Q9ZKA0, Distance: 0.868
Nearest neighbor-10: C0MBD7, Distance: 0.877

Query: A0A002
Nearest neighbor-1: Q03024, Distance: 1.503
Nearest neighbor-2: Q51719, Distance: 1.778
Nearest neighbor-3: Q82MV1, Distance: 1.793
Nearest neighbor-4: A0K739, Distance: 1.826
Nearest neighbor-5: P9WQJ4, Distance: 1.892
Nearest neighbor-6: Q7VZE5, Distance: 1.898
Nearest neighbor-7: Q7WGW1, Distance: 1.899
Nearest neighbor-8: Q6NDA6, Distance: 1.957
Nearest neighbor-9: Q13RD3, Distance: 1.970
Nearest neighbor-10: Q67JX3, Distance: 1.973

Query: A0A009IB02
Nearest neighbor-1: P10802, Distance: 1.189
Nearest neighbor-2: P11961, Distance: 1.983
Nearest neighbor-3: Q9SQI8, Distance: 2.006
Nearest neighbor-4: P49786, Distance: 2.008
Nearest neighbor-5: P43874, Distance: 2.221
Nearest neighbor-6: P02904, Distance: 2.351
Nearest neighbor-7: P0ABE1, Distance: 2.443
Nearest neighbor-8: O06432, Distance: 2.765
Nearest neighbor-9: B0RLE5, Distance: 2.857
Nearest neighbor-10: B4RCD1, Distance: 2.938


