IVFPQ

Query: A0A010Q8R4
Nearest neighbor-1: Q9P4R5, Distance: 1.221
Nearest neighbor-7: O35828, Distance: 1.332
Nearest neighbor-8: O82266, Distance: 1.358
Nearest neighbor-9: Q652L2, Distance: 1.370
Nearest neighbor-10: Q8TEB1, Distance: 1.391

Query: A0A002
Nearest neighbor-1: Q8P8W4, Distance: 1.746
Nearest neighbor-2: Q51719, Distance: 1.778
Nearest neighbor-3: Q82MV1, Distance: 1.793
Nearest neighbor-4: A0K739, Distance: 1.826
Nearest neighbor-5: P9WQJ4, Distance: 1.892
Nearest neighbor-6: Q21BF6, Distance: 1.937
Nearest neighbor-7: Q6NDA6, Distance: 1.957
Nearest neighbor-8: Q13RD3, Distance: 1.970
Nearest neighbor-9: Q2T751, Distance: 1.979
Nearest neighbor-10: Q5PKT6, Distance: 1.999

Query: A0A009HLV9
Nearest neighbor-1: P28787, Distance: 0.570
Nearest neighbor-2: P59402, Distance: 0.987
Nearest neighbor-3: A8A3I6, Distance: 0.999
Nearest neighbor-4: B6I695, Distance: 1.009
Nearest neighbor-5: B7N6T9, Distance: 1.013
Nearest neighbor-6: Q0TEH1, Distance: 1.015
Nearest neighbor-7: B4T3B0, Distance: 1.029
Nearest neighbor-8: B4TT16, Distance: 1.039
Nearest neighbor-9: Q220I3, Distance: 1.135
Nearest neighbor-10: Q88V03, Distance: 1.229

Query: A0A009HL96
Nearest neighbor-1: Q5HI09, Distance: 0.639
Nearest neighbor-2: P33112, Distance: 0.642
Nearest neighbor-3: Q99VW2, Distance: 0.660
Nearest neighbor-4: Q99RR6, Distance: 0.750
Nearest neighbor-5: Q9AE24, Distance: 0.779
Nearest neighbor-6: P45189, Distance: 0.885
Nearest neighbor-7: P0A4H8, Distance: 0.980
Nearest neighbor-8: P0C000, Distance: 1.055
Nearest neighbor-9: Q2FH23, Distance: 1.055
Nearest neighbor-10: Q5HPC3, Distance: 1.102

Query: A0A009I3Y5
Nearest neighbor-1: P14181, Distance: 1.687
Nearest neighbor-2: A5UG81, Distance: 1.750
Nearest neighbor-3: Q4QLU9, Distance: 1.906
Nearest neighbor-4: Q8EIL1, Distance: 2.030
Nearest neighbor-5: Q7MAX6, Distance: 2.032
Nearest neighbor-6: Q12SQ2, Distance: 2.034
Nearest neighbor-7: A3D8E4, Distance: 2.056
Nearest neighbor-8: A6VLF9, Distance: 2.114
Nearest neighbor-9: B4ET17, Distance: 2.150
Nearest neighbor-10: B0V7R3, Distance: 2.152

Query: A0A009PCK4
Nearest neighbor-1: P14181, Distance: 1.671
Nearest neighbor-2: A5UG81, Distance: 1.720
Nearest neighbor-3: P44033, Distance: 1.840
Nearest neighbor-4: Q4QLU9, Distance: 1.912
Nearest neighbor-5: Q12SQ2, Distance: 2.035
Nearest neighbor-6: Q7MAX6, Distance: 2.036
Nearest neighbor-7: Q8EIL1, Distance: 2.046
Nearest neighbor-8: A3D8E4, Distance: 2.063
Nearest neighbor-9: B0V7R3, Distance: 2.158
Nearest neighbor-10: B4ET17, Distance: 2.158

Query: A0A009HN45
Nearest neighbor-1: A7MSB2, Distance: 0.681
Nearest neighbor-2: Q9ZDW2, Distance: 0.740
Nearest neighbor-3: B0BT63, Distance: 0.760
Nearest neighbor-4: P52126, Distance: 0.792
Nearest neighbor-5: Q99ZA5, Distance: 0.806
Nearest neighbor-6: Q1JBD1, Distance: 0.807
Nearest neighbor-7: P0C9B2, Distance: 0.846
Nearest neighbor-8: Q03AL7, Distance: 0.856
Nearest neighbor-9: Q49VV6, Distance: 0.896
Nearest neighbor-10: Q65191, Distance: 1.163


