IVFPQ

Query: A0A009HN45
Nearest neighbor-1: A7MSB2, Distance: 0.681
Nearest neighbor-9: Q9P7C0, Distance: 1.379
Nearest neighbor-10: Q05B30, Distance: 1.587

Query: A0A009HL96
Nearest neighbor-1: P33112, Distance: 0.642
Nearest neighbor-2: Q99RR6, Distance: 0.750
Nearest neighbor-3: Q9AE24, Distance: 0.779
Nearest neighbor-4: P45189, Distance: 0.885
Nearest neighbor-5: Q1XDE4, Distance: 1.169
Nearest neighbor-6: Q55890, Distance: 1.354
Nearest neighbor-7: Q5HEP0, Distance: 1.371
Nearest neighbor-8: Q6G850, Distance: 1.383
Nearest neighbor-9: Q6GFH3, Distance: 1.383
Nearest neighbor-10: P44845, Distance: 1.383

Query: A0A002
Nearest neighbor-1: P9WQJ3, Distance: 1.334
Nearest neighbor-2: Q13BH6, Distance: 1.433
Nearest neighbor-3: Q20Z38, Distance: 1.530
Nearest neighbor-4: Q7VZE5, Distance: 1.898
Nearest neighbor-5: Q89ER4, Distance: 2.011
Nearest neighbor-6: Q4ZZK0, Distance: 2.152
Nearest neighbor-7: Q3SQ65, Distance: 2.179
Nearest neighbor-8: Q3KJS6, Distance: 2.264
Nearest neighbor-9: Q5P1F3, Distance: 2.270
Nearest neighbor-10: Q3Z3V4, Distance: 2.329


