IVFPQ

Query: A0A001
Nearest neighbor-1: A5WJJ8, Distance: 2.081
Nearest neighbor-18: Q96U88, Distance: 1.533
Nearest neighbor-19: Q8CFJ9, Distance: 1.542
Nearest neighbor-20: Q8W4D0, Distance: 1.551
Nearest neighbor-21: Q8TEB1, Distance: 1.576
Nearest neighbor-22: A2QGF0, Distance: 1.594
Nearest neighbor-23: Q4R4I8, Distance: 1.613
Nearest neighbor-24: P0DL28, Distance: 1.636
Nearest neighbor-25: A5DSU5, Distance: 1.647
Nearest neighbor-26: P12917, Distance: 1.647
Nearest neighbor-27: W7N293, Distance: 1.660
Nearest neighbor-28: A1D3A0, Distance: 1.666
Nearest neighbor-29: Q9FMU5, Distance: 1.667
Nearest neighbor-30: P0CP30, Distance: 1.702
Nearest neighbor-31: Q8GYE0, Distance: 1.711
Nearest neighbor-32: C8V7C7, Distance: 1.717
Nearest neighbor-33: Q7SEZ0, Distance: 1.718
Nearest neighbor-34: C5JYV0, Distance: 1.726
Nearest neighbor-35: P0CJ66, Distance: 1.732
Nearest neighbor-36: P0CH66, Distance: 1.748
Nearest neighbor-37: Q4WCV3, Distance: 1.749
Nearest neighbor-38: Q79LY0, Distance: 1.760
Nearest neighbor-39: P0CR59, Distance: 1.778
Nearest neighbor-40: C5GB89, Distance: 1.787
Nearest neighbor-41: Q51P78, Distance: 1.791
Nearest neighbor-42: B8NDR8, Distance: 1.803
Nearest neighbor-43: Q5B4W9, Distance: 1.815
Nearest neighbor-44: P0CN67, Distance: 1.819
Nearest neighbor-45: P37841, Distance: 1.823
Nearest neighbor-46: Q4WPW5, Distance: 1.836
Nearest neighbor-47: A4RM19, Distance: 1.855
Nearest neighbor-48: Q94A43, Distance: 2.005
Nearest neighbor-49: Q5ASR2, Distance: 2.018
Nearest neighbor-50: Q6NKS4, Distance: 2.101

Query: A0A009PCK4
Nearest neighbor-1: P14181, Distance: 1.671
Nearest neighbor-2: A5UG81, Distance: 1.720
Nearest neighbor-3: Q4QLU9, Distance: 1.912
Nearest neighbor-4: Q7MAX6, Distance: 2.036
Nearest neighbor-5: P75612, Distance: 2.061
Nearest neighbor-6: B0V636, Distance: 2.098
Nearest neighbor-7: A9L3X6, Distance: 2.104
Nearest neighbor-8: A6VLF9, Distance: 2.119
Nearest neighbor-9: Q7VM59, Distance: 2.139
Nearest neighbor-10: B0V7R3, Distance: 2.158
Nearest neighbor-11: B4ET17, Distance: 2.158
Nearest neighbor-12: B7UKC3, Distance: 2.165
Nearest neighbor-13: A1AGU2, Distance: 2.168
Nearest neighbor-14: Q1R5L6, Distance: 2.168
Nearest neighbor-15: B7MJ93, Distance: 2.181
Nearest neighbor-16: A7ZZ64, Distance: 2.184
Nearest neighbor-17: C5BC48, Distance: 2.187
Nearest neighbor-18: B7MTN6, Distance: 2.201
Nearest neighbor-19: C3LP59, Distance: 2.208
Nearest neighbor-20: B1LNS5, Distance: 2.221
Nearest neighbor-21: P76261, Distance: 2.235
Nearest neighbor-22: A8GL74, Distance: 2.241
Nearest neighbor-23: B0VKL3, Distance: 2.245
Nearest neighbor-24: Q5PK68, Distance: 2.251
Nearest neighbor-25: B5BJN9, Distance: 2.251
Nearest neighbor-26: Q3YZN7, Distance: 2.276
Nearest neighbor-27: Q8XCQ7, Distance: 2.279
Nearest neighbor-28: A1ADH3, Distance: 2.285
Nearest neighbor-29: Q1CHL1, Distance: 2.326
Nearest neighbor-30: Q1CGA8, Distance: 2.330
Nearest neighbor-31: A7FGL1, Distance: 2.332
Nearest neighbor-32: Q6D3S2, Distance: 2.360
Nearest neighbor-33: Q2NQZ6, Distance: 2.391
Nearest neighbor-34: A8FRM9, Distance: 2.393
Nearest neighbor-35: B1JQP6, Distance: 2.426
Nearest neighbor-36: Q57R80, Distance: 2.452
Nearest neighbor-37: Q5PGN2, Distance: 2.460
Nearest neighbor-38: C3K2F6, Distance: 2.485
Nearest neighbor-39: Q74SR9, Distance: 2.488
Nearest neighbor-40: Q9RHS9, Distance: 2.489
Nearest neighbor-41: B1LGS2, Distance: 2.534
Nearest neighbor-42: P66834, Distance: 2.544
Nearest neighbor-43: Q9PH03, Distance: 2.547
Nearest neighbor-44: C5BED3, Distance: 2.554
Nearest neighbor-45: A8ALG8, Distance: 2.570
Nearest neighbor-46: A4W6M6, Distance: 2.587
Nearest neighbor-47: B5FIB4, Distance: 2.636
Nearest neighbor-48: Q8ZRS3, Distance: 2.636
Nearest neighbor-49: B5BL97, Distance: 2.639
Nearest neighbor-50: B2VD21, Distance: 2.645

Query: A0A009HN45
Nearest neighbor-1: A7MSB2, Distance: 0.681
Nearest neighbor-2: Q9ZDW2, Distance: 0.740
Nearest neighbor-3: B0BT63, Distance: 0.760
Nearest neighbor-4: P52126, Distance: 0.792
Nearest neighbor-5: Q0HMR2, Distance: 0.792
Nearest neighbor-6: Q0HR19, Distance: 0.796
Nearest neighbor-7: Q99ZA5, Distance: 0.806
Nearest neighbor-8: Q1JBD1, Distance: 0.807
Nearest neighbor-9: Q5X0E6, Distance: 0.828
Nearest neighbor-10: A6QKD8, Distance: 0.832
Nearest neighbor-11: A1A7A6, Distance: 0.837
Nearest neighbor-12: A7ZW09, Distance: 0.845
Nearest neighbor-13: P0C9B2, Distance: 0.846
Nearest neighbor-14: Q03AL7, Distance: 0.856
Nearest neighbor-15: Q9ZKA0, Distance: 0.868
Nearest neighbor-16: Q50939, Distance: 0.869
Nearest neighbor-17: C0MBD7, Distance: 0.877
Nearest neighbor-18: Q5PDF0, Distance: 0.891
Nearest neighbor-19: Q54986, Distance: 0.891
Nearest neighbor-20: A7FKM4, Distance: 0.891
Nearest neighbor-21: Q49VV6, Distance: 0.896
Nearest neighbor-22: B1IC35, Distance: 0.898
Nearest neighbor-23: B5FI41, Distance: 0.898
Nearest neighbor-24: Q71WT9, Distance: 0.922
Nearest neighbor-25: A3CNJ9, Distance: 0.922
Nearest neighbor-26: Q8CWX7, Distance: 0.926
Nearest neighbor-27: Q8F8A9, Distance: 0.930
Nearest neighbor-28: B1L280, Distance: 0.959
Nearest neighbor-29: P0DOQ3, Distance: 0.966
Nearest neighbor-30: P05807, Distance: 0.977
Nearest neighbor-31: Q6GIN3, Distance: 1.009
Nearest neighbor-32: Q5HHR0, Distance: 1.009
Nearest neighbor-33: Q8NXM0, Distance: 1.015
Nearest neighbor-34: A0KGL5, Distance: 1.029
Nearest neighbor-35: Q3Z9B4, Distance: 1.054
Nearest neighbor-36: Q631I6, Distance: 1.085
Nearest neighbor-37: A6M2Z0, Distance: 1.104
Nearest neighbor-38: Q641Y8, Distance: 1.148
Nearest neighbor-39: Q12WZ6, Distance: 1.161
Nearest neighbor-40: Q65191, Distance: 1.163
Nearest neighbor-41: Q5NVJ8, Distance: 1.167
Nearest neighbor-42: Q4WWE9, Distance: 1.214
Nearest neighbor-43: Q21489, Distance: 1.214
Nearest neighbor-44: Q55G81, Distance: 1.245
Nearest neighbor-45: P18074, Distance: 1.259
Nearest neighbor-46: Q10D00, Distance: 1.288
Nearest neighbor-47: P0C1S1, Distance: 1.303
Nearest neighbor-48: A7X1T6, Distance: 1.303
Nearest neighbor-49: Q9T1Q7, Distance: 1.355
Nearest neighbor-50: P0DW41, Distance: 1.544

Query: A0A010Q3W2
Nearest neighbor-1: D1ZEM6, Distance: 1.149
Nearest neighbor-2: Q2UUT4, Distance: 1.179
Nearest neighbor-3: A2QI22, Distance: 1.235
Nearest neighbor-4: P0CS56, Distance: 1.237
Nearest neighbor-5: A1CXL0, Distance: 1.244
Nearest neighbor-6: P0CS29, Distance: 1.286
Nearest neighbor-7: Q9S7I8, Distance: 1.298
Nearest neighbor-8: Q9SU78, Distance: 1.312
Nearest neighbor-9: Q756D0, Distance: 1.316
Nearest neighbor-10: Q9P7C0, Distance: 1.318
Nearest neighbor-11: A2RAG5, Distance: 1.326
Nearest neighbor-12: C1GB49, Distance: 1.326
Nearest neighbor-13: O35828, Distance: 1.332
Nearest neighbor-14: Q8VYZ5, Distance: 1.352
Nearest neighbor-15: O82266, Distance: 1.358
Nearest neighbor-16: Q652L2, Distance: 1.370
Nearest neighbor-17: Q20059, Distance: 1.371
Nearest neighbor-18: A8NZM5, Distance: 1.381
Nearest neighbor-19: A1CBB8, Distance: 1.384
Nearest neighbor-20: Q8TEB1, Distance: 1.391
Nearest neighbor-21: Q5NVM2, Distance: 1.393
Nearest neighbor-22: A4IGH4, Distance: 1.400
Nearest neighbor-23: C5DF48, Distance: 1.410
Nearest neighbor-24: Q96U88, Distance: 1.420
Nearest neighbor-25: A8XSW2, Distance: 1.420
Nearest neighbor-26: G5EEG7, Distance: 1.437
Nearest neighbor-27: Q4R4I8, Distance: 1.438
Nearest neighbor-28: Q8BX09, Distance: 1.441
Nearest neighbor-29: Q8CFJ9, Distance: 1.451
Nearest neighbor-30: Q9LJN8, Distance: 1.461
Nearest neighbor-31: Q24246, Distance: 1.475
Nearest neighbor-32: Q8R2N2, Distance: 1.479
Nearest neighbor-33: Q8BH57, Distance: 1.483
Nearest neighbor-34: Q05B30, Distance: 1.487
Nearest neighbor-35: P0CS37, Distance: 1.489
Nearest neighbor-36: Q8GYE0, Distance: 1.491
Nearest neighbor-37: P0DL28, Distance: 1.494
Nearest neighbor-38: O74340, Distance: 1.495
Nearest neighbor-39: Q2T9T9, Distance: 1.498
Nearest neighbor-40: Q8C6G8, Distance: 1.512
Nearest neighbor-41: Q6TEN6, Distance: 1.517
Nearest neighbor-42: Q5VQ78, Distance: 1.525
Nearest neighbor-43: P93107, Distance: 1.525
Nearest neighbor-44: P54319, Distance: 1.550
Nearest neighbor-45: P0CS40, Distance: 1.550
Nearest neighbor-46: A6PWY4, Distance: 1.554
Nearest neighbor-47: B4GIJ0, Distance: 1.589
Nearest neighbor-48: Q9FMU5, Distance: 1.592
Nearest neighbor-49: A1CJY4, Distance: 1.602
Nearest neighbor-50: Q9WTV0, Distance: 1.634

Query: A0A009HL96
Nearest neighbor-1: Q5HI09, Distance: 0.639
Nearest neighbor-2: P33112, Distance: 0.642
Nearest neighbor-3: Q99VW2, Distance: 0.660
Nearest neighbor-4: Q8CQ37, Distance: 0.675
Nearest neighbor-5: Q99RR6, Distance: 0.750
Nearest neighbor-6: Q9AE24, Distance: 0.779
Nearest neighbor-7: P28257, Distance: 0.784
Nearest neighbor-8: P0CAW8, Distance: 0.789
Nearest neighbor-9: A6WZ81, Distance: 0.853
Nearest neighbor-10: P45189, Distance: 0.885
Nearest neighbor-11: A0A0H2UQ68, Distance: 0.956
Nearest neighbor-12: P0A4H8, Distance: 0.980
Nearest neighbor-13: P0C000, Distance: 1.055
Nearest neighbor-14: Q2FH23, Distance: 1.055
Nearest neighbor-15: Q5HPC3, Distance: 1.102
Nearest neighbor-16: Q1XDE4, Distance: 1.169
Nearest neighbor-17: A0A0H3NGY1, Distance: 1.215
Nearest neighbor-18: P0AA17, Distance: 1.215
Nearest neighbor-19: Q9KM23, Distance: 1.239
Nearest neighbor-20: P26319, Distance: 1.248
Nearest neighbor-21: P96686, Distance: 1.275
Nearest neighbor-22: Q55890, Distance: 1.354
Nearest neighbor-23: Q7A3U5, Distance: 1.360
Nearest neighbor-24: Q5HEP0, Distance: 1.371
Nearest neighbor-25: Q6G850, Distance: 1.383
Nearest neighbor-26: Q6GFH3, Distance: 1.383
Nearest neighbor-27: P44845, Distance: 1.383
Nearest neighbor-28: P23620, Distance: 1.449
Nearest neighbor-29: Q52376, Distance: 1.494
Nearest neighbor-30: Q8DVB7, Distance: 1.704
Nearest neighbor-31: Q9ZM64, Distance: 1.744
Nearest neighbor-32: Q8GVV6, Distance: 1.750
Nearest neighbor-33: A1W0A5, Distance: 1.752
Nearest neighbor-34: A6QJN2, Distance: 1.772
Nearest neighbor-35: Q4L8Q7, Distance: 1.818
Nearest neighbor-36: Q2KCH7, Distance: 1.826
Nearest neighbor-37: A5VUU3, Distance: 1.826
Nearest neighbor-38: A9MBQ2, Distance: 1.826
Nearest neighbor-39: Q12YX1, Distance: 1.837
Nearest neighbor-40: Q73RG3, Distance: 1.844
Nearest neighbor-41: Q8D5Z6, Distance: 1.852
Nearest neighbor-42: Q8CR97, Distance: 1.897
Nearest neighbor-43: A6LRL7, Distance: 2.045
Nearest neighbor-44: A0PZS6, Distance: 2.121
Nearest neighbor-45: P26778, Distance: 2.136
Nearest neighbor-46: C3P7L0, Distance: 2.154
Nearest neighbor-47: Q819B3, Distance: 2.173
Nearest neighbor-48: P0ACJ1, Distance: 2.257
Nearest neighbor-49: P0A4P8, Distance: 2.523
Nearest neighbor-50: P0A4P7, Distance: 2.523

Query: A0A009HPM0
Nearest neighbor-1: B2TWG0, Distance: 1.437
Nearest neighbor-2: B1LNS5, Distance: 1.449
Nearest neighbor-3: A1RP91, Distance: 1.454
Nearest neighbor-4: B5BJN9, Distance: 1.457
Nearest neighbor-5: Q5PK68, Distance: 1.457
Nearest neighbor-6: B0VRJ4, Distance: 1.482
Nearest neighbor-7: Q7MHY6, Distance: 1.486
Nearest neighbor-8: A6VLF9, Distance: 1.487
Nearest neighbor-9: Q7MAX6, Distance: 1.495
Nearest neighbor-10: A3QHZ8, Distance: 1.497
Nearest neighbor-11: A8GL74, Distance: 1.512
Nearest neighbor-12: Q12SP8, Distance: 1.523
Nearest neighbor-13: A3D8E4, Distance: 1.525
Nearest neighbor-14: C5BC48, Distance: 1.536
Nearest neighbor-15: B1IRN3, Distance: 1.543
Nearest neighbor-16: B6EL06, Distance: 1.543
Nearest neighbor-17: B4ET17, Distance: 1.559
Nearest neighbor-18: Q3IHQ6, Distance: 1.579
Nearest neighbor-19: B5BG31, Distance: 1.584
Nearest neighbor-20: A4TQK1, Distance: 1.585
Nearest neighbor-21: Q7VP87, Distance: 1.587
Nearest neighbor-22: Q8EIL1, Distance: 1.593
Nearest neighbor-23: Q6D3S2, Distance: 1.623
Nearest neighbor-24: P77473, Distance: 1.641
Nearest neighbor-25: Q2NQZ6, Distance: 1.651
Nearest neighbor-26: A9MRB9, Distance: 1.653
Nearest neighbor-27: B5F512, Distance: 1.656
Nearest neighbor-28: P76261, Distance: 1.658
Nearest neighbor-29: Q9RHS9, Distance: 1.690
Nearest neighbor-30: Q1CGA8, Distance: 1.694
Nearest neighbor-31: C3K2F6, Distance: 1.698
Nearest neighbor-32: Q57R80, Distance: 1.728
Nearest neighbor-33: B0V7R3, Distance: 1.730
Nearest neighbor-34: B1JQP6, Distance: 1.744
Nearest neighbor-35: Q21P11, Distance: 1.748
Nearest neighbor-36: Q5PGN2, Distance: 1.756
Nearest neighbor-37: B1LGS2, Distance: 1.786
Nearest neighbor-38: P09158, Distance: 1.786
Nearest neighbor-39: P66834, Distance: 1.788
Nearest neighbor-40: C5BED3, Distance: 1.814
Nearest neighbor-41: B2VD21, Distance: 1.823
Nearest neighbor-42: A8ALG8, Distance: 1.846
Nearest neighbor-43: Q9PH03, Distance: 1.846
Nearest neighbor-44: B5FIB4, Distance: 1.862
Nearest neighbor-45: Q8ZRS3, Distance: 1.862
Nearest neighbor-46: Q74SR9, Distance: 1.863
Nearest neighbor-47: B5BL97, Distance: 1.865
Nearest neighbor-48: A8FRM9, Distance: 1.869
Nearest neighbor-49: A4W6M6, Distance: 1.878
Nearest neighbor-50: Q087P4, Distance: 1.934

Query: A0A002
Nearest neighbor-1: Q51719, Distance: 1.778
Nearest neighbor-2: Q82MV1, Distance: 1.793
Nearest neighbor-3: A0K739, Distance: 1.826
Nearest neighbor-4: P9WQJ4, Distance: 1.892
Nearest neighbor-5: Q2J3T0, Distance: 1.936
Nearest neighbor-6: Q6NDA6, Distance: 1.957
Nearest neighbor-7: Q9RKQ4, Distance: 1.961
Nearest neighbor-8: Q13RD3, Distance: 1.970
Nearest neighbor-9: Q67JX3, Distance: 1.973
Nearest neighbor-10: Q2T751, Distance: 1.979
Nearest neighbor-11: Q5PKT6, Distance: 1.999
Nearest neighbor-12: Q89ER4, Distance: 2.011
Nearest neighbor-13: Q1QR47, Distance: 2.023
Nearest neighbor-14: Q9HYF9, Distance: 2.025
Nearest neighbor-15: O69051, Distance: 2.073
Nearest neighbor-16: C7MSY6, Distance: 2.128
Nearest neighbor-17: Q62H59, Distance: 2.135
